Regression Centroids (Box B): 4
Excluded Recent Centroids (Box A): 2
Math Search Window (Bars): 3000
Visual EDT Window (Bars): 1496
Observation Window (Box B Bars): 1135
Total 171 Crossings (n): 107
Timeframe (Sec): 900
Raw Slope (b): -0.26760
Regression Angle: -29.73
Anchored Y-Int: 4417.30201

[MODEL A; CROSSINGS]
Sample (n): 107
R-Square: 0.8055
MSE: 1722.1930
Var Ratio: 1.95
Skewness: -0.21
Kurtosis: 2.21

[MODEL B; CLOSE PRICE]
Sample (n): 1135
R-Square: 0.7958
MSE: 1661.0493
Var Ratio: 2.30
Skewness: -0.22
Kurtosis: 2.33

timestamp	symbol	timeframe	close	CEN_0	CEN_1	CEN_2	CEN_3	CEN_4	CEN_5	CEN_6	CEN_7	CEN_8	CEN_9	CEN_10	CEN_11	Base_FL	EDT_1	EDT_2	EDT_3	EDT_4	EDT_5	EDT_6	EDT_7	EDT_8	horiz_high_map	horiz_low_map	ssa	ema_ssa	crossing
1777919402	XAUUSD	M15	4511.86	4518.59282	4596.05595	4755.40355	4792.76972									4518.18876	4547.55205	4574.14083			4483.24899	4449.68399					4518.50828	4519.34294	0
1777920302	XAUUSD	M15	4516.40	4518.59282	4596.05595	4755.40355	4792.76972									4517.92115	4547.28445	4573.87322			4482.98138	4449.41638					4517.41568	4518.37931	0
1777921202	XAUUSD	M15	4519.05	4518.59282	4596.05595	4755.40355	4792.76972									4517.65355	4547.01685	4573.60562			4482.71378	4449.14878					4516.69738	4517.53835	0
1777922102	XAUUSD	M15	4522.42	4518.59282	4596.05595	4755.40355	4792.76972									4517.38594	4546.74924	4573.33801			4482.44617	4448.88118					4516.46243	4517.00039	0
1777923002	XAUUSD	M15	4521.16	4518.59282	4596.05595	4755.40355	4792.76972									4517.11834	4546.48164	4573.07041			4482.17857	4448.61357					4516.63686	4516.81862	0
1777923902	XAUUSD	M15	4517.46	4518.59282	4596.05595	4755.40355	4792.76972									4516.85074	4546.21403	4572.80280			4481.91096	4448.34597					4517.16653	4516.99258	1
1777924802	XAUUSD	M15	4514.74	4518.59282	4596.05595	4755.40355	4792.76972									4516.58313	4545.94643	4572.53520			4481.64336	4448.07836					4517.98711	4517.48985	0
1777925702	XAUUSD	M15	4515.21	4518.59282	4596.05595	4755.40355	4792.76972									4516.31553	4545.67883	4572.26760			4481.37576	4447.81076					4518.96045	4518.22515	0
1777926602	XAUUSD	M15	4518.75	4518.59282	4596.05595	4755.40355	4792.76972									4516.04792	4545.41122	4571.99999			4481.10815	4447.54316					4519.86715	4519.04615	0
1777927502	XAUUSD	M15	4523.84	4518.59282	4596.05595	4755.40355	4792.76972									4515.78032	4545.14362	4571.73239			4480.84055	4447.27555					4520.45224	4519.74919	0
