timestamp_validated	symbol_validated	timeframe_validated	close_validated	Most_Recent_Base_FL_validated	Most_Recent_UOEDT_validated	Most_Recent_LOEDT_validated	Non_A_Base_FL_validated	Non_A_UOEDT_validated	Non_A_LOEDT_validated	Non_B_Base_FL_validated	Non_B_UOEDT_validated	Non_B_LOEDT_validated	Cherry_A_Base_FL_validated	Cherry_A_UOEDT_validated	Cherry_A_LOEDT_validated	Cherry_B_Base_FL_validated	Cherry_B_UOEDT_validated	Cherry_B_LOEDT_validated	Best_Fit_CFL_validated	Best_Fit_UOEDT_validated	Best_Fit_LOEDT_validated	horiz_high_map_validated	horiz_low_map_validated	ssa_validated	ema_ssa_validated	crossing_validated
1780053300	XAUUSD	M15	4528.1	4468.55157	4551.75092	4339.5015	4537.95116	4587.46134	4463.01432	4693.88372	4753.7527	4660.96995	4969.26269	5007.09814	4839.60224	4573.31991	4597.7057	4511.10002	4604.43326	4629.78703	4561.54993			4533.18214	4533.82569	1
1780054200	XAUUSD	M15	4531.07	4468.38736	4551.58671	4339.3373	4537.94869	4587.45887	4463.01185	4693.87616	4753.74513	4660.96239	4969.44543	5007.28088	4839.78497	4573.36368	4597.74947	4511.14378	4604.5699	4629.92367	4561.68658			4531.49773	4532.66171	0
1780055100	XAUUSD	M15	4538.36	4468.22316	4551.4225	4339.17309	4537.94623	4587.45641	4463.00939	4693.86859	4753.73757	4660.95482	4969.62817	5007.46362	4839.96771	4573.40744	4597.79323	4511.18755	4604.70654	4630.06031	4561.82322			4529.42592	4531.04382	0
1780056000	XAUUSD	M15	4528.39	4468.05895	4551.25829	4339.00888	4537.94377	4587.45395	4463.00693	4693.86102	4753.73	4660.94726	4969.8109	5007.64635	4840.15045	4573.45121	4597.837	4511.23132	4604.84318	4630.19695	4561.95986			4526.92629	4528.98505	0
1780056900	XAUUSD	M15	4522.39	4467.89474	4551.09409	4338.84467	4537.94131	4587.45149	4463.00447	4693.85346	4753.72244	4660.93969	4969.99364	5007.82909	4840.33318	4573.49498	4597.88077	4511.27508	4604.97982	4630.33359	4562.0965			4524.52009	4526.75257	0
1780057800	XAUUSD	M15	4514.13	4467.73053	4550.92988	4338.68046	4537.93884	4587.44902	4463.002	4693.84589	4753.71487	4660.93213	4970.17638	5008.01183	4840.51592	4573.53874	4597.92454	4511.31885	4605.11646	4630.47024	4562.23314			4522.70919	4524.73088	0
1780058700	XAUUSD	M15	4523.03	4467.56633	4550.76567	4338.51626	4537.93638	4587.44656	4462.99954	4693.83833	4753.7073	4660.92456	4970.35911	5008.19456	4840.69866	4573.58251	4597.9683	4511.36262	4605.25311	4630.60688	4562.36978			4522.06771	4523.39929	0
1780059600	XAUUSD	M15	4522.89	4467.40212	4550.60146	4338.35205	4537.93392	4587.4441	4462.99708	4693.83076	4753.69974	4660.91699	4970.54185	5008.3773	4840.88139	4573.62628	4598.01207	4511.40639	4605.38975	4630.74352	4562.50642			4522.66997	4523.03463	0
1780060500	XAUUSD	M15	4528.06	4467.23791	4550.43726	4338.18784	4537.93146	4587.44164	4462.99462	4693.8232	4753.69217	4660.90943	4970.72459	5008.56004	4841.06413	4573.67005	4598.05584	4511.45015	4605.52639	4630.88016	4562.64307			4524.76149	4523.89806	1
1780061400	XAUUSD	M15	4533.05	4467.0737	4550.27305	4338.02363	4537.92899	4587.43917	4462.99215	4693.81563	4753.68461	4660.90186	4970.90732	5008.74277	4841.24687	4573.71381	4598.0996	4511.49392	4605.66303	4631.0168	4562.77971			4528.35657	4526.12731	0
1780062300	XAUUSD	M15	4536.8	4466.90949	4550.10884	4337.85943	4537.92653	4587.43671	4462.98969	4693.80807	4753.67704	4660.8943	4971.09006	5008.92551	4841.4296	4573.75758	4598.14337	4511.53769	4605.79967	4631.15344	4562.91635			4533.36561	4529.74646	0
1780063200	XAUUSD	M15	4543.88	4466.74529	4549.94463	4337.69522	4537.92407	4587.43425	4462.98723	4693.8005	4753.66948	4660.88673	4971.2728	5009.10825	4841.61234	4573.80135	4598.18714	4511.58146	4605.93631	4631.29009	4563.05299			4539.63405	4534.69026	0
1780064100	XAUUSD	M15	4529.84	4466.58108	4549.78043	4337.53101	4537.9216	4587.43179	4462.98477	4693.79294	4753.66191	4660.87917	4971.45553	5009.29098	4841.79508	4573.84511	4598.23091	4511.62522	4606.07296	4631.42673	4563.18963			4546.68419	4540.68722	0
1780065000	XAUUSD	M15	4540.3	4466.41687	4549.61622	4337.3668	4537.91914	4587.42932	4462.9823	4693.78537	4753.65435	4660.8716	4971.63827	5009.47372	4841.97781	4573.88888	4598.27467	4511.66899	4606.2096	4631.56337	4563.32627			4554.22316	4547.45519	0
1780065900	XAUUSD	M15	4564.28	4466.25266	4549.45201	4337.2026	4537.91668	4587.42686	4462.97984	4693.7778	4753.64678	4660.86404	4971.82101	5009.65646	4842.16055	4573.93265	4598.31844	4511.71276	4606.34624	4631.70001	4563.46292			4561.50342	4554.47931	0
1780066800	XAUUSD	M15	4590.1	4466.08846	4549.2878	4337.03839	4537.91422	4587.4244	4462.97738	4693.77024	4753.63922	4660.85647	4972.00374	5009.83919	4842.34329	4573.97642	4598.36221	4511.75652	4606.48288	4631.83665	4563.59956	4595.19		4567.53668	4561.008	0
1780067700	XAUUSD	M15	4578.66	4465.92425	4549.1236	4336.87418	4537.91175	4587.42194	4462.97492	4693.76267	4753.63165	4660.8489	4972.18648	5010.02193	4842.52602	4574.02018	4598.40597	4511.80029	4606.61952	4631.97329	4563.7362			4571.41655	4566.21227	0
1780068600	XAUUSD	M15	4566.64	4465.76004	4548.95939	4336.70997	4537.90929	4587.41947	4462.97245	4693.75511	4753.62408	4660.84134	4972.36921	5010.20467	4842.70876	4574.06395	4598.44974	4511.84406	4606.75616	4632.10993	4563.87284			4573.14233	4569.6773	0
1780069500	XAUUSD	M15	4571.07	4465.59583	4548.79518	4336.54577	4537.90683	4587.41701	4462.96999	4693.74754	4753.61652	4660.83377	4972.55195	5010.3874	4842.8915	4574.10772	4598.49351	4511.88783	4606.8928	4632.24658	4564.00948			4573.06118	4571.36924	0
1780070400	XAUUSD	M15	4563.71	4465.43163	4548.63097	4336.38156	4537.90437	4587.41455	4462.96753	4693.73998	4753.60895	4660.82621	4972.73469	5010.57014	4843.07423	4574.15148	4598.53728	4511.93159	4607.02945	4632.38322	4564.14612			4571.46485	4571.41704	0
1780071300	XAUUSD	M15	4563.06	4465.26742	4548.46677	4336.21735	4537.9019	4587.41208	4462.96507	4693.73241	4753.60139	4660.81864	4972.91742	5010.75288	4843.25697	4574.19525	4598.58104	4511.97536	4607.16609	4632.51986	4564.28276			4568.99999	4570.20852	1
1780072200	XAUUSD	M15	4569.56	4465.10321	4548.30256	4336.05314	4537.89944	4587.40962	4462.9626	4693.72485	4753.59382	4660.81108	4973.10016	5010.93561	4843.43971	4574.23902	4598.62481	4512.01913	4607.30273	4632.6565	4564.41941			4566.20207	4568.20529	0
1780073100	XAUUSD	M15	4566.86	4464.939	4548.13835	4335.88894	4537.89698	4587.40716	4462.96014	4693.71728	4753.58626	4660.80351	4973.2829	5011.11835	4843.62244	4574.28279	4598.66858	4512.06289	4607.43937	4632.79314	4564.55605			4563.37058	4565.78793	0
1780074000	XAUUSD	M15	4564.43	4464.7748	4547.97414	4335.72473	4537.89452	4587.4047	4462.95768	4693.70971	4753.57869	4660.79595	4973.46563	5011.30109	4843.80518	4574.32655	4598.71234	4512.10666	4607.57601	4632.92978	4564.69269			4560.87096	4563.32945	0
1780074900	XAUUSD	M15	4561.95	4464.61059	4547.80994	4335.56052	4537.89205	4587.40223	4462.95521	4693.70215	4753.57113	4660.78838	4973.64837	5011.48382	4843.98791	4574.37032	4598.75611	4512.15043	4607.71265	4633.06642	4564.82933			4558.93396	4561.1317	0
1780075800	XAUUSD	M15	4554.11	4464.44638	4547.64573	4335.39631	4537.88959	4587.39977	4462.95275	4693.69458	4753.56356	4660.78081	4973.83111	5011.66656	4844.17065	4574.41409	4598.79988	4512.1942	4607.84929	4633.20307	4564.96597			4557.64745	4559.38958	0
1780076700	XAUUSD	M15	4553.44	4464.28217	4547.48152	4335.23211	4537.88713	4587.39731	4462.95029	4693.68702	4753.55599	4660.77325	4974.01384	5011.84929	4844.35339	4574.45785	4598.84365	4512.23796	4607.98594	4633.33971	4565.10261			4557.1205	4558.25504	0
1780077600	XAUUSD	M15	4558.14	4464.11797	4547.31731	4335.0679	4537.88467	4587.39485	4462.94783	4693.67945	4753.54843	4660.76568	4974.19658	5012.03203	4844.53612	4574.50162	4598.88741	4512.28173	4608.12258	4633.47635	4565.23926			4557.15845	4557.70674	0
1780078500	XAUUSD	M15	4559.28	4463.95376	4547.1531	4334.90369	4537.8822	4587.39238	4462.94536	4693.67189	4753.54086	4660.75812	4974.37932	5012.21477	4844.71886	4574.54539	4598.93118	4512.3255	4608.25922	4633.61299	4565.3759			4557.31304	4557.50989	0
1780079400	XAUUSD	M15	4557.96	4463.78955	4546.9889	4334.73948	4537.87974	4587.38992	4462.9429	4693.66432	4753.5333	4660.75055	4974.56205	5012.3975	4844.9016	4574.58916	4598.97495	4512.36926	4608.39586	4633.74963	4565.51254			4557.23081	4557.37035	0
1780080300	XAUUSD	M15	4553.1	4463.62534	4546.82469	4334.57528	4537.87728	4587.38746	4462.94044	4693.65676	4753.52573	4660.74299	4974.74479	5012.58024	4845.08433	4574.63292	4599.01871	4512.41303	4608.5325	4633.88627	4565.64918			4556.69496	4557.03266	0
1780081200	XAUUSD	M15	4558.26	4463.46114	4546.66048	4334.41107	4537.87482	4587.385	4462.93798	4693.64919	4753.51817	4660.73542	4974.92753	5012.76298	4845.26707	4574.67669	4599.06248	4512.4568	4608.66914	4634.02292	4565.78582			4555.74265	4556.38765	0
1780082100	XAUUSD	M15	4555.3	4463.29693	4546.49627	4334.24686	4537.87235	4587.38253	4462.93551	4693.64162	4753.5106	4660.72786	4975.11026	5012.94571	4845.44981	4574.72046	4599.10625	4512.50057	4608.80579	4634.15956	4565.92246			4554.04088	4555.21427	0
1780083000	XAUUSD	M15	4551.53	4463.13272	4546.33207	4334.08265	4537.86989	4587.38007	4462.93305	4693.63406	4753.50304	4660.72029	4975.293	5013.12845	4845.63254	4574.76422	4599.15002	4512.54433	4608.94243	4634.2962	4566.0591			4551.72478	4553.46952	0
1780083900	XAUUSD	M15	4545.67	4462.96851	4546.16786	4333.91845	4537.86743	4587.37761	4462.93059	4693.62649	4753.49547	4660.71273	4975.47574	5013.31119	4845.81528	4574.80799	4599.19378	4512.5881	4609.07907	4634.43284	4566.19575			4549.09038	4551.27995	0
1780084800	XAUUSD	M15	4548.83	4462.80431	4546.00365	4333.75424	4537.86497	4587.37515	4462.92813	4693.61893	4753.4879	4660.70516	4975.65847	5013.49392	4845.99802	4574.85176	4599.23755	4512.63187	4609.21571	4634.56948	4566.33239			4546.70655	4548.99325	0
1780085700	XAUUSD	M15	4542.78	4462.6401	4545.83944	4333.59003	4537.8625	4587.37268	4462.92566	4693.61136	4753.48034	4660.69759	4975.84121	5013.67666	4846.18075	4574.89553	4599.28132	4512.67563	4609.35235	4634.70612	4566.46903			4544.28038	4546.63681	0
1780086600	XAUUSD	M15	4543.77	4462.47589	4545.67524	4333.42582	4537.86004	4587.37022	4462.9232	4693.6038	4753.47277	4660.69003	4976.02395	5013.8594	4846.36349	4574.93929	4599.32508	4512.7194	4609.48899	4634.84276	4566.60567			4542.40688	4544.52185	0
1780087500	XAUUSD	M15	4540.62	4462.31168	4545.51103	4333.26162	4537.85758	4587.36776	4462.92074	4693.59623	4753.46521	4660.68246	4976.20668	5014.04213	4846.54623	4574.98306	4599.36885	4512.76317	4609.62563	4634.97941	4566.74231			4540.70813	4542.61499	0
