timestamp_adjusted	close	CurrentPoint	2PrevS&R	4PrevS&R	6PrevS&R	8PrevS&R	10PrevS&R	12PrevS&R	14PrevS&R	16PrevS&R	18PrevS&R	20PrevS&R	22PrevS&R	2PrevImpEQHL	4PrevImpEQHL	6PrevImpEQHL	8PrevImpEQHL	10PrevImpEQHL	12PrevImpEQHL	14PrevImpEQHL	16PrevImpEQHL	18PrevImpEQHL	20PrevImpEQHL	22PrevImpEQHL	CountEQHL	ImpEQHL	AvgEQHL	MostRecentEQHL	2MostRecentEQHL	3MostRecentEQHL	4MostRecentEQHL	5MostRecentEQHL	6MostRecentEQHL
1778580000	4705.08	4708.47																							1	0							
1778581800	4690.76	4685.14	4687.49							4678.1															3	0	4683.58						
1778589900	4705.75	4711.51										4721.44													2	0							
1778598900	4656.04	4638.57				4647.85																			2	0							
1778630400	4720.28	4726.76											4721.44												2	0							
1778640300	4691.9	4687.6		4685.14	4687.49							4678.1													4	0	4684.58						
1778652900	4708.78	4715.35	4726.76	4711.51																					3	0	4717.87						
1778664600	4694.22	4685.97			4685.14	4687.49							4678.1												4	0	4684.18						
1778666400	4702.25	4710.38			4711.51																				2	0							
1778679900	4679.3	4669.65								4670.56															2	0							
1778688900	4706.57	4709.71				4711.51																			2	0							
1778697900	4684.92	4677.64	4669.65	4685.97			4685.14	4687.49			4670.56														6	0	4679.41						
1778719500	4704.98	4706.81					4711.51																		2	0							
1778731200	4682.25	4668.77		4669.65								4670.56													3	0	4669.66						
1778743800	4709.19	4718.75					4726.76	4711.51																	3	0	4719.01						
1778751000	4695.48	4688.47				4685.97			4685.14	4687.49															4	0	4686.77						
1778761800	4697.97	4710.02	4718.75						4711.51																3	0	4713.43						
1778790600	4650.83	4644.4							4638.57				4647.85												3	0	4643.61						
1778801400	4657.34	4665.35																							1	0							
1778838300	4545.78	4532.03																							1	0							
1778841900	4566.14	4572.64																							1	0							
1778852700	4533.57	4511.92																							1	0							
1778856300	4562.82	4566.43																							1	0							
1779065100	4515.89	4480.72																							1	0							
1779089400	4549.3	4559.95																							1	0							
1779102000	4539.54	4530.01			4532.03											IEQL									2	1	4531.02						
1779111900	4575.63	4584.14																							1	0							
1779116400	4540.53	4532				4532.03											IEQL								2	1	4532.02						
1779148800	4578.88	4589.36	4584.14																						2	0							
1779167700	4538.61	4531.31					4532.03											IEQL							2	1	4531.67						
1779176700	4557.24	4559.38																							1	0							
1779197400	4476.25	4464.78																							1	0							
1779237900	4500.98	4508.81																							1	0							
1779246000	4458.01	4453.69	4464.78											IEQL											2	1	4459.24						
1779282000	4505.15	4505.94																							1	0							
1779285600	4477.09	4467.07		4464.78											IEQL										2	1	4465.93						
1779290100	4529.44	4552.71																							1	0							
1779318900	4538.57	4534.63				4531.31					4532.03											IEQL			3	1	4532.66						
1779327000	4567.96	4570.99																							1	0							
1779347700	4512.95	4512.06									4511.92														2	0							
1779355800	4529.86	4542.7		4552.71											IEQH										2	1	4547.71						
1779370200	4498.02	4488.72									4480.72														2	0							
1779385500	4551.54	4559.28			4552.71											IEQH									2	1	4556.00						
1779417000	4522.61	4518.56		4512.06									4511.92												3	0	4514.18						
1779427800	4534.1	4534.16																							1	0							
1779428700	4511.19	4507.44			4512.06																				2	0							
1779444000	4533.84	4536.83																							1	0							
1779459300	4499.05	4491.93			4488.72																				2	0							
1779471000	4522.2	4527.75	4536.83																						2	0							
1779478200	4509.65	4504.39		4507.44			4512.06																		3	0	4507.96						
1779665400	4577.25	4579.98						4570.99					4589.36												3	0	4580.11						
1779688800	4553.81	4550.48																							1	0							
1779709500	4569.45	4577.02	4579.98						4570.99																3	0	4576.00						
1779711300	4560.54	4552.93																							1	0							
1779728400	4574.24	4577.8		4579.98						4570.99															3	0	4576.26						
1779731100	4565.14	4563.4																							1	0							
1779750900	4568.14	4580.28	4577.8		4579.98						4570.99														4	0	4577.26						
1779780600	4526.72	4521.72									4512.06														2	0							
1779781500	4538.23	4539.01						4536.83																	2	0							
1779787800	4513.24	4512.11	4521.72						4507.44			4512.06													4	0	4513.33						
1779792300	4534.48	4540.53							4536.83																2	0							
1779818400	4487.11	4482.74							4491.93			4488.72													3	0	4487.80						
1779832800	4504.89	4537.84	4540.53							4536.83															3	0	4538.40						
1779854400	4503.18	4495.97								4491.93			4488.72												3	0	4492.21						
1779857100	4510.11	4517.18																							1	0							
1779887700	4404.89	4401.5																							1	0							
1779919200	4457.94	4465.92																							1	0							
1779941700	4368.47	4366.32																							1	0							
1779962400	4399.34	4404.43																							1	0							
1779965100	4382.96	4375.47	4366.32											IEQL											2	1	4370.90						
1779991200	4507.69	4516.57																							1	0							
1780011900	4495.24	4489.19					4482.74																		2	0							
1780040700	4524.76	4526.21	4516.57											IEQH											2	1	4521.39						
1780044300	4514.88	4510.03							4512.11																2	0							
1780050600	4537.92	4543.31							4540.53																2	0							
1780057800	4514.13	4512.71								4512.11	4521.72														3	0	4515.51						
1780066800	4590.1	4595.19																							1	0							
1780087500	4540.62	4539.55																							0	0							
																									0	0							
