Fractal_timestamp	Fractal_symbol	Fractal_timeframe	Fractal_close	Fractal_Best_FL	Fractal_UOEDT	Fractal_LOEDT
1789709700	XAUUSD	M5	4372.28	4384.78856	4397.54808	4359.26951
1789710000	XAUUSD	M5	4377.09	4384.87034	4397.62986	4359.35129
1789710300	XAUUSD	M5	4370.79	4384.95211	4397.71164	4359.43307
1789710600	XAUUSD	M5	4373.43	4385.03389	4397.79342	4359.51484
1789710900	XAUUSD	M5	4377.38	4385.11567	4397.87519	4359.59662
1789711200	XAUUSD	M5	4382.37	4385.19745	4397.95697	4359.67840
1789711500	XAUUSD	M5	4387.42	4385.27923	4398.03875	4359.76018
1789711800	XAUUSD	M5	4389.04	4385.36101	4398.12053	4359.84196
1789712100	XAUUSD	M5	4384.81	4385.44279	4398.20231	4359.92374
1789712400	XAUUSD	M5	4391.53	4385.52456	4398.28409	4360.00552
1789712700	XAUUSD	M5	4392.43	4385.60634	4398.36587	4360.08729
1789713000	XAUUSD	M5	4393.17	4385.68812	4398.44764	4360.16907
1789713300	XAUUSD	M5	4394.51	4385.76990	4398.52942	4360.25085
1789713600	XAUUSD	M5	4396.12	4385.85168	4398.61120	4360.33263
1789713900	XAUUSD	M5	4395.31	4385.93346	4398.69298	4360.41441
1789714200	XAUUSD	M5	4391.20	4386.01523	4398.77476	4360.49619
1789714500	XAUUSD	M5	4393.43	4386.09701	4398.85654	4360.57797
1789714800	XAUUSD	M5	4391.39	4386.17879	4398.93832	4360.65974
1789715100	XAUUSD	M5	4393.69	4386.26057	4399.02009	4360.74152
1789715400	XAUUSD	M5	4390.48	4386.34235	4399.10187	4360.82330
1789715700	XAUUSD	M5	4392.77	4386.42413	4399.18365	4360.90508
1789716000	XAUUSD	M5	4393.40	4386.50591	4399.26543	4360.98686
1789716300	XAUUSD	M5	4395.67	4386.58768	4399.34721	4361.06864
1789716600	XAUUSD	M5	4393.28	4386.66946	4399.42899	4361.15042
1789716900	XAUUSD	M5	4393.81	4386.75124	4399.51077	4361.23219
1789717200	XAUUSD	M5	4393.72	4386.83302	4399.59254	4361.31397
1789717500	XAUUSD	M5	4397.32	4386.91480	4399.67432	4361.39575
1789717800	XAUUSD	M5	4397.16	4386.99658	4399.75610	4361.47753
1789718100	XAUUSD	M5	4393.36	4387.07836	4399.83788	4361.55931
1789718400	XAUUSD	M5	4397.56	4387.16013	4399.91966	4361.64109
1789718700	XAUUSD	M5	4394.92	4387.24191	4400.00144	4361.72287
1789719000	XAUUSD	M5	4390.44	4387.32369	4400.08322	4361.80464
1789719300	XAUUSD	M5	4391.69	4387.40547	4400.16499	4361.88642
1789719600	XAUUSD	M5	4390.00	4387.48725	4400.24677	4361.96820
1789719900	XAUUSD	M5	4387.88	4387.56903	4400.32855	4362.04998
1789720200	XAUUSD	M5	4387.75	4387.65081	4400.41033	4362.13176
1789720500	XAUUSD	M5	4386.72	4387.73258	4400.49211	4362.21354
1789720800	XAUUSD	M5	4386.82	4387.81436	4400.57389	4362.29531
