z-score_timestamp	z-score_symbol	z-score_timeframe	z-score_close	z-score_open	z-score_high	z-score_low	body_direction	body_size	body_classification
1789661701	XAUUSD	M5	4367.17	4368.09	4368.88	4365.93	-1	0.55203	3
1789662001	XAUUSD	M5	4367.63	4367.24	4368.40	4366.05	1	0.69109	0
1789662301	XAUUSD	M5	4367.76	4367.62	4368.17	4363.75	1	0.75372	0
1789662601	XAUUSD	M5	4358.70	4367.53	4367.57	4357.72	-1	1.52204	4
1789662901	XAUUSD	M5	4360.10	4358.72	4360.79	4357.89	1	0.43014	0
1789663201	XAUUSD	M5	4359.97	4360.11	4360.47	4357.57	-1	0.75482	3
1789663501	XAUUSD	M5	4358.04	4360.13	4361.63	4357.93	-1	0.24301	3
1789663801	XAUUSD	M5	4360.37	4357.97	4360.96	4356.17	1	0.16135	0
1789664101	XAUUSD	M5	4362.37	4360.37	4362.37	4356.04	1	0.26729	0
1789664401	XAUUSD	M5	4362.42	4362.45	4364.68	4358.39	-1	0.78309	3
1789664701	XAUUSD	M5	4363.84	4362.42	4365.83	4362.14	1	0.41890	0
1789665001	XAUUSD	M5	4361.92	4363.77	4364.00	4360.77	-1	0.30722	3
1789665301	XAUUSD	M5	4360.33	4361.93	4363.15	4359.43	-1	0.37180	3
1789665601	XAUUSD	M5	4360.01	4360.33	4361.88	4357.93	-1	0.70535	3
1789665901	XAUUSD	M5	4360.55	4359.99	4362.53	4359.16	1	0.64216	0
1789666201	XAUUSD	M5	4362.22	4360.57	4362.25	4360.35	1	0.35747	0
1789666501	XAUUSD	M5	4358.17	4362.22	4363.77	4357.91	-1	0.26953	3
1789666801	XAUUSD	M5	4360.49	4358.06	4361.01	4358.06	1	0.15476	0
1789667101	XAUUSD	M5	4359.51	4360.49	4361.05	4358.68	-1	0.53427	3
1789667401	XAUUSD	M5	4360.45	4359.51	4361.58	4359.28	1	0.54531	0
1789667701	XAUUSD	M5	4361.29	4360.45	4361.70	4360.15	1	0.57185	0
1789668001	XAUUSD	M5	4363.31	4361.29	4363.31	4360.21	1	0.26315	0
1789668301	XAUUSD	M5	4362.15	4363.33	4364.72	4360.80	-1	0.48391	3
1789668601	XAUUSD	M5	4364.71	4362.15	4365.42	4361.47	1	0.12228	0
1789668901	XAUUSD	M5	4360.97	4364.65	4365.59	4360.43	-1	0.17187	3
1789669201	XAUUSD	M5	4357.74	4360.86	4361.27	4357.21	-1	0.02441	3
1789669501	XAUUSD	M5	4356.32	4357.75	4359.08	4355.98	-1	0.41901	3
1789669801	XAUUSD	M5	4349.64	4356.28	4356.45	4349.47	-1	0.94505	3
1789670101	XAUUSD	M5	4351.60	4349.64	4351.84	4348.52	1	0.28272	0
1789670401	XAUUSD	M5	4352.17	4351.53	4353.00	4350.76	1	0.62658	0
1789670701	XAUUSD	M5	4352.16	4352.19	4352.65	4350.33	-1	0.78365	3
1789671001	XAUUSD	M5	4350.82	4352.07	4352.24	4349.32	-1	0.46445	3
1789671301	XAUUSD	M5	4351.65	4350.74	4351.86	4350.12	1	0.55190	0
1789671601	XAUUSD	M5	4354.23	4351.56	4355.32	4351.42	1	0.08997	0
1789671901	XAUUSD	M5	4354.70	4354.23	4356.04	4353.78	1	0.66506	0
