zigzag_TimeStamp	zigzag_symbol	zigzag_timeframe	zigzag_close	zigzag_Type	CurrentPoint	CurrentPrChg	Current%Chg	Current%ChgClass	CurrentBars	CurrentBarsClass	CurrentPrPerBar	CurrentPrPerBarClass	CurrentSlope	CurrentCategory
1789364101	XAUUSD	M5	4335.15000	Peak	4337.11000	14.94000	0.35	0	10	0	1.49400	0	56.2039	LH
1789365001	XAUUSD	M5	4334.61000	Bottom	4323.40000	-13.71000	-0.32	3	3	3	-4.57000	3	-77.6572	HL
1789365601	XAUUSD	M5	4334.47000	Peak	4338.75000	15.35000	0.36	0	2	0	7.67500	0	82.5766	HH
1789380001	XAUUSD	M5	4281.62000	Bottom	4278.28000	-60.47000	-1.39	4	48	5	-1.25979	3	-51.5581	LL
1789384801	XAUUSD	M5	4296.69000	Peak	4296.84000	18.56000	0.43	0	16	0	1.16000	0	49.2364	LH
1789386901	XAUUSD	M5	4287.08000	Bottom	4284.24000	-12.60000	-0.29	3	7	3	-1.80000	3	-60.9454	HL
1789388101	XAUUSD	M5	4290.28000	Peak	4297.60000	13.36000	0.31	0	4	0	3.34000	0	73.3322	HH
1789391101	XAUUSD	M5	4260.24000	Bottom	4253.61000	-43.99000	-1.02	3	10	3	-4.39900	3	-77.1929	LL
1789395301	XAUUSD	M5	4276.24000	Peak	4282.95000	29.34000	0.69	0	14	0	2.09571	0	64.4912	LH
1789395901	XAUUSD	M5	4270.03000	Bottom	4264.15000	-18.80000	-0.44	3	2	3	-9.40000	3	-83.9275	HL
1789404601	XAUUSD	M5	4316.65000	Peak	4317.63000	53.48000	1.25	0	29	0	1.84414	0	61.5308	HH
1789416001	XAUUSD	M5	4284.61000	Bottom	4282.31000	-35.32000	-0.82	3	38	5	-0.92947	3	-42.9067	HL
1789423201	XAUUSD	M5	4299.55000	Peak	4302.35000	20.04000	0.47	0	12	0	1.67000	0	59.0867	LH
1789431601	XAUUSD	M5	4287.54000	Bottom	4283.71000	-18.64000	-0.43	3	28	3	-0.66571	3	-33.6523	HL
1789440301	XAUUSD	M5	4316.82000	Peak	4317.41000	33.70000	0.79	0	29	0	1.16207	0	49.2869	HH
1789453801	XAUUSD	M5	4287.14000	Bottom	4286.03000	-31.38000	-0.73	3	45	5	-0.69733	3	-34.8893	HL
1789455601	XAUUSD	M5	4291.56000	Peak	4295.37000	9.34000	0.22	0	6	0	1.55667	0	57.2834	LH
1789462501	XAUUSD	M5	4262.39000	Bottom	4261.38000	-33.99000	-0.79	3	23	3	-1.47783	3	-55.9150	LL
1789473301	XAUUSD	M5	4284.62000	Peak	4286.71000	25.33000	0.59	0	36	1	0.70361	0	35.1306	LH
1789474801	XAUUSD	M5	4273.38000	Bottom	4271.40000	-15.31000	-0.36	3	5	3	-3.06200	3	-71.9138	HL
1789481101	XAUUSD	M5	4297.93000	Peak	4300.36000	28.96000	0.68	0	21	0	1.37905	0	54.0527	HH
1789483801	XAUUSD	M5	4280.00000	Bottom	4274.14000	-26.22000	-0.61	3	9	3	-2.91333	3	-71.0552	HL
1789498801	XAUUSD	M5	4305.03000	Peak	4310.70000	36.56000	0.86	0	50	2	0.73120	0	36.1743	HH
1789510801	XAUUSD	M5	4294.65000	Bottom	4291.75000	-18.95000	-0.44	3	28	3	-0.67679	3	-34.0896	HL
1789511101	XAUUSD	M5	4298.77000	Peak	4298.92000	7.17000	0.17	0	1	0	7.17000	0	82.0602	LH
1789520101	XAUUSD	M5	4277.53000	Bottom	4275.58000	-23.34000	-0.54	3	30	3	-0.77800	3	-37.8829	LL
1789528801	XAUUSD	M5	4336.62000	Peak	4341.00000	65.42000	1.53	2	29	0	2.25586	0	66.0928	HH
1789534201	XAUUSD	M5	4321.48000	Bottom	4320.65000	-20.35000	-0.47	3	18	3	-1.13056	3	-48.5066	HL
1789544401	XAUUSD	M5	4336.21000	Peak	4339.08000	18.43000	0.43	0	34	0	0.54206	0	28.4603	LH
1789546201	XAUUSD	M5	4327.54000	Bottom	4323.08000	-16.00000	-0.37	3	6	3	-2.66667	3	-69.4440	HL
1789557901	XAUUSD	M5	4350.73000	Peak	4353.59000	30.51000	0.71	0	39	1	0.78231	0	38.0363	HH
1789561801	XAUUSD	M5	4341.41000	Bottom	4335.21000	-18.38000	-0.42	3	13	3	-1.41385	3	-54.7286	HL
1789564501	XAUUSD	M5	4353.64000	Peak	4360.24000	25.03000	0.58	0	9	0	2.78111	0	70.2230	HH
1789567501	XAUUSD	M5	4329.56000	Bottom	4324.16000	-36.08000	-0.83	3	10	3	-3.60800	3	-74.5087	LL
1789573501	XAUUSD	M5	4353.10000	Peak	4361.34000	37.18000	0.86	0	20	0	1.85900	0	61.7231	HH
1789578601	XAUUSD	M5	4343.63000	Bottom	4341.81000	-19.53000	-0.45	3	17	3	-1.14882	3	-48.9619	HL
1789581301	XAUUSD	M5	4361.38000	Peak	4364.82000	23.01000	0.53	0	9	0	2.55667	0	68.6378	HH
1789585801	XAUUSD	M5	4252.97000	Bottom	4235.22000	-129.60000	-2.97	5	15	3	-8.64000	5	-83.3979	LL
1789608901	XAUUSD	M5	4312.01000	Peak	4318.19000	82.97000	1.96	2	65	2	1.27646	0	51.9243	LH
1789613701	XAUUSD	M5	4277.27000	Bottom	4274.01000	-44.18000	-1.02	3	16	3	-2.76125	3	-70.0919	HL
1789621201	XAUUSD	M5	4297.97000	Peak	4299.10000	25.09000	0.59	0	25	0	1.00360	0	45.1029	LH
1789622401	XAUUSD	M5	4286.89000	Bottom	4285.47000	-13.63000	-0.32	3	4	3	-3.40750	3	-73.6446	HL
1789631101	XAUUSD	M5	4332.26000	Peak	4335.30000	49.83000	1.16	0	29	0	1.71828	0	59.8015	HH
1789637401	XAUUSD	M5	4307.66000	Bottom	4305.16000	-30.14000	-0.70	3	21	3	-1.43524	3	-55.1332	HL
1789647901	XAUUSD	M5	4381.09000	Peak	4381.24000	76.08000	1.77	2	35	0	2.17371	0	65.2956	HH
1789652701	XAUUSD	M5	4367.54000	Bottom	4355.49000	-25.75000	-0.59	3	16	3	-1.60938	3	-58.1449	HL
