timestamp	symbol	timeframe	close	horiz_peak_line_1	horiz_bottom_line_1	horiz_high_map	horiz_low_map
1775034600	XAUUSD	M5	4718.16	4744.69	4664.14		
1775034900	XAUUSD	M5	4716.78	4744.53	4664.09		
1775035200	XAUUSD	M5	4720.97	4744.37	4664.05		
1775035500	XAUUSD	M5	4719.53	4744.21	4664.00		
1775035800	XAUUSD	M5	4714.16	4744.05	4663.95		4713.16
1775036100	XAUUSD	M5	4718.55	4743.89	4663.90		
1775036400	XAUUSD	M5	4719.06	4743.73	4663.86		
1775036700	XAUUSD	M5	4726.64	4743.58	4663.81		
1775037000	XAUUSD	M5	4723.13	4743.42	4663.76		
1775037300	XAUUSD	M5	4723.21	4743.26	4663.71		
1775037600	XAUUSD	M5	4718.88	4743.10	4663.66		
1775037900	XAUUSD	M5	4718.25	4742.94	4663.62		
1775038200	XAUUSD	M5	4715.70	4742.78	4663.57		
1775038500	XAUUSD	M5	4720.16	4742.62	4663.52		
1775038800	XAUUSD	M5	4725.45	4742.47	4663.47		
1775039100	XAUUSD	M5	4728.37	4742.31	4663.43		
1775039400	XAUUSD	M5	4727.03	4742.15	4663.38		
1775039700	XAUUSD	M5	4730.22	4741.99	4663.33		
1775040000	XAUUSD	M5	4734.87	4741.83	4663.28		
1775040300	XAUUSD	M5	4737.05	4741.67	4663.23		
1775040600	XAUUSD	M5	4732.04	4741.51	4663.19		
1775040900	XAUUSD	M5	4731.35	4741.35	4663.14		
1775041200	XAUUSD	M5	4737.46	4741.20	4663.09		
1775041500	XAUUSD	M5	4739.75	4741.04	4663.04		
1775041800	XAUUSD	M5	4736.86	4740.88	4663.00		
1775042100	XAUUSD	M5	4743.75	4740.72	4662.95		
1775042400	XAUUSD	M5	4740.13	4740.56	4662.90		
1775042700	XAUUSD	M5	4745.13	4740.40	4662.85		
1775043000	XAUUSD	M5	4746.09	4740.24	4662.80		
1775043300	XAUUSD	M5	4756.99	4740.09	4662.76		
1775043600	XAUUSD	M5	4760.44	4739.93	4662.71	4762.84	
1775043900	XAUUSD	M5	4758.73	4739.77	4662.66		
1775044200	XAUUSD	M5	4759.84	4739.61	4662.61		
1775044500	XAUUSD	M5	4752.57	4739.45	4662.57		
1775044800	XAUUSD	M5	4748.07	4739.29	4662.52		
1775045100	XAUUSD	M5	4743.15	4739.13	4662.47		
1775045400	XAUUSD	M5	4743.41	4738.98	4662.42		
1775045700	XAUUSD	M5	4739.18	4738.82	4662.37		
1775046000	XAUUSD	M5	4732.74	4738.66	4662.33		
1775046300	XAUUSD	M5	4735.89	4738.50	4662.28		
1775046600	XAUUSD	M5	4744.70	4738.34	4662.23		
1775046900	XAUUSD	M5	4735.05	4738.18	4662.18		
1775047200	XAUUSD	M5	4748.04	4738.02	4662.14		
1775047500	XAUUSD	M5	4733.71	4737.87	4662.09		
1775047800	XAUUSD	M5	4731.49	4737.71	4662.04		
1775048100	XAUUSD	M5	4724.87	4737.55	4661.99		
1775048400	XAUUSD	M5	4720.48	4737.39	4661.94		4716.56
1775048700	XAUUSD	M5	4729.22	4737.23	4661.90		
1775049000	XAUUSD	M5	4731.83	4737.07	4661.85		
1775049300	XAUUSD	M5	4739.31	4736.91	4661.80		
1775049600	XAUUSD	M5	4738.31	4736.75	4661.75		
1775049900	XAUUSD	M5	4736.52	4736.60	4661.71		
1775050200	XAUUSD	M5	4738.84	4736.44	4661.66		
1775050500	XAUUSD	M5	4746.13	4736.28	4661.61		
1775050800	XAUUSD	M5	4743.53	4736.12	4661.56		
1775051100	XAUUSD	M5	4743.44	4735.96	4661.51		
1775051400	XAUUSD	M5	4741.95	4735.80	4661.47		
1775051700	XAUUSD	M5	4738.37	4735.64	4661.42		
1775052000	XAUUSD	M5	4744.01	4735.49	4661.37		
1775052300	XAUUSD	M5	4742.50	4735.33	4661.32		
1775052600	XAUUSD	M5	4744.51	4735.17	4661.28		
1775052900	XAUUSD	M5	4747.04	4735.01	4661.23		
1775053200	XAUUSD	M5	4739.85	4734.85	4661.18		
1775053500	XAUUSD	M5	4742.05	4734.69	4661.13		
1775053800	XAUUSD	M5	4743.63	4734.53	4661.08		
1775054100	XAUUSD	M5	4749.83	4734.38	4661.04		
1775054400	XAUUSD	M5	4754.09	4734.22	4660.99		
