timestamp	symbol	timeframe	close	sr_1	sr_2	sr_3	sr_4	sr_5	sr_6	sr_7	sr_8
1772074498	XAUUSD	M5	5184.34	5178.60	5161.89	5135.85		5193.35	5205.31		
1772074798	XAUUSD	M5	5187.44	5178.60	5161.89	5135.85		5193.35	5205.31		
1772075098	XAUUSD	M5	5185.97	5178.60	5161.89	5135.85		5193.35	5205.31		
1772075398	XAUUSD	M5	5187.26	5178.60	5161.89	5135.85		5193.35	5205.31		
1772075698	XAUUSD	M5	5190.19	5178.60	5161.89	5135.85		5193.35	5205.31		
1772075998	XAUUSD	M5	5191.04	5178.60	5161.89	5135.85		5193.35	5205.31		
1772076298	XAUUSD	M5	5188.35	5178.60	5161.89	5135.85		5193.35	5205.31		
1772076598	XAUUSD	M5	5188.56	5178.60	5161.89	5135.85		5193.35	5205.31		
1772076898	XAUUSD	M5	5186.58	5178.60	5161.89	5135.85		5193.35	5205.31		
1772077198	XAUUSD	M5	5186.18	5178.60	5161.89	5135.85		5193.35	5205.31		
1772077498	XAUUSD	M5	5188.61	5178.60	5161.89	5135.85		5193.35	5205.31		
1772077798	XAUUSD	M5	5191.34	5178.60	5161.89	5135.85		5193.35	5205.31		
1772078098	XAUUSD	M5	5192.63	5178.60	5161.89	5135.85		5193.35	5205.31		
1772078398	XAUUSD	M5	5194.08	5193.35	5178.60	5161.89	5135.85	5205.31			
1772078698	XAUUSD	M5	5195.76	5193.35	5178.60	5161.89	5135.85	5205.31			
1772078998	XAUUSD	M5	5196.80	5193.35	5178.60	5161.89	5135.85	5205.31			
1772079298	XAUUSD	M5	5193.83	5193.35	5178.60	5161.89	5135.85	5205.31			
1772079598	XAUUSD	M5	5193.75	5193.35	5178.60	5161.89	5135.85	5205.31			
1772079898	XAUUSD	M5	5194.13	5193.35	5178.60	5161.89	5135.85	5205.31			
1772080198	XAUUSD	M5	5194.86	5193.35	5178.60	5161.89	5135.85	5205.31			
1772080498	XAUUSD	M5	5195.40	5193.35	5178.60	5161.89	5135.85	5205.31			
1772080798	XAUUSD	M5	5194.26	5193.35	5178.60	5161.89	5135.85	5205.31			
1772081098	XAUUSD	M5	5191.38	5178.60	5161.89	5135.85		5193.35	5205.31		
1772081398	XAUUSD	M5	5192.61	5178.60	5161.89	5135.85		5193.35	5205.31		
1772081698	XAUUSD	M5	5192.69	5178.60	5161.89	5135.85		5193.35	5205.31		
1772081998	XAUUSD	M5	5193.25	5178.60	5161.89	5135.85		5193.35	5205.31		
1772082298	XAUUSD	M5	5194.54	5193.35	5178.60	5161.89	5135.85	5205.31			
1772082598	XAUUSD	M5	5197.85	5193.35	5178.60	5161.89	5135.85	5205.31			
1772082898	XAUUSD	M5	5199.82	5193.35	5178.60	5161.89	5135.85	5205.31			
1772083198	XAUUSD	M5	5202.71	5193.35	5178.60	5161.89	5135.85	5205.31			
1772083498	XAUUSD	M5	5200.41	5193.35	5178.60	5161.89	5135.85	5205.31			
1772083798	XAUUSD	M5	5201.13	5193.35	5178.60	5161.89	5135.85	5205.31			
1772084098	XAUUSD	M5	5199.26	5193.35	5178.60	5161.89	5135.85	5205.31			
1772084398	XAUUSD	M5	5199.69	5193.35	5178.60	5161.89	5135.85	5205.31			
1772084698	XAUUSD	M5	5193.88	5193.35	5178.60	5161.89	5135.85	5205.31			
1772084998	XAUUSD	M5	5194.18	5193.35	5178.60	5161.89	5135.85	5205.31			
1772085298	XAUUSD	M5	5198.46	5193.35	5178.60	5161.89	5135.85	5205.31			
1772085598	XAUUSD	M5	5193.77	5193.35	5178.60	5161.89	5135.85	5205.31			
1772085898	XAUUSD	M5	5198.41	5193.35	5178.60	5161.89	5135.85	5205.31			
1772086198	XAUUSD	M5	5197.99	5193.35	5178.60	5161.89	5135.85	5205.31			
1772086498	XAUUSD	M5	5196.06	5193.35	5178.60	5161.89	5135.85	5205.31			
1772086798	XAUUSD	M5	5196.44	5193.35	5178.60	5161.89	5135.85	5205.31			
1772087098	XAUUSD	M5	5193.49	5193.35	5178.60	5161.89	5135.85	5205.31			
1772087398	XAUUSD	M5	5196.90	5193.35	5178.60	5161.89	5135.85	5205.31			
1772087698	XAUUSD	M5	5196.79	5193.35	5178.60	5161.89	5135.85	5205.31			
