timestamp	symbol	timeframe	close	zigzag_high	zigzag_low	ema
1771940700	XAUUSD	M5	5126.45	0.00	0.00	5156.77
1771941000	XAUUSD	M5	5133.11	0.00	0.00	5154.85
1771941300	XAUUSD	M5	5115.35	0.00	0.00	5152.39
1771941600	XAUUSD	M5	5118.10	0.00	0.00	5149.87
1771941900	XAUUSD	M5	5121.27	0.00	0.00	5147.88
1771942200	XAUUSD	M5	5105.37	0.00	5094.27	5144.97
1771942500	XAUUSD	M5	5101.94	0.00	0.00	5142.03
1771942800	XAUUSD	M5	5118.74	0.00	0.00	5139.98
1771943100	XAUUSD	M5	5115.57	0.00	0.00	5138.23
1771943400	XAUUSD	M5	5117.70	0.00	0.00	5136.76
1771943700	XAUUSD	M5	5135.10	0.00	0.00	5136.17
1771944000	XAUUSD	M5	5137.20	0.00	0.00	5136.09
1771944300	XAUUSD	M5	5132.98	0.00	0.00	5135.90
1771944600	XAUUSD	M5	5129.76	0.00	0.00	5135.60
1771944900	XAUUSD	M5	5127.73	0.00	0.00	5135.14
1771945200	XAUUSD	M5	5125.43	0.00	0.00	5134.37
1771945500	XAUUSD	M5	5135.47	0.00	0.00	5134.26
1771945800	XAUUSD	M5	5136.96	0.00	0.00	5134.37
1771946100	XAUUSD	M5	5140.13	0.00	0.00	5134.68
1771946400	XAUUSD	M5	5143.55	0.00	0.00	5135.21
1771946700	XAUUSD	M5	5138.31	0.00	0.00	5135.61
1771947000	XAUUSD	M5	5140.81	0.00	0.00	5135.84
1771947300	XAUUSD	M5	5144.64	0.00	0.00	5136.42
1771947600	XAUUSD	M5	5149.82	0.00	0.00	5137.26
1771947900	XAUUSD	M5	5152.66	5155.17	0.00	5138.36
1771948200	XAUUSD	M5	5145.91	0.00	0.00	5139.04
1771948500	XAUUSD	M5	5150.30	0.00	0.00	5139.75
1771948800	XAUUSD	M5	5148.95	0.00	0.00	5140.47
1771949100	XAUUSD	M5	5143.97	0.00	0.00	5140.79
1771949400	XAUUSD	M5	5147.46	0.00	0.00	5141.14
1771949700	XAUUSD	M5	5147.64	0.00	0.00	5141.65
1771950000	XAUUSD	M5	5143.16	0.00	0.00	5141.84
1771950300	XAUUSD	M5	5143.63	0.00	0.00	5141.94
1771950600	XAUUSD	M5	5137.39	0.00	0.00	5141.71
1771950900	XAUUSD	M5	5145.77	0.00	0.00	5141.80
1771951200	XAUUSD	M5	5145.42	0.00	0.00	5142.12
1771951500	XAUUSD	M5	5136.17	0.00	0.00	5141.89
1771951800	XAUUSD	M5	5137.98	0.00	5131.27	5141.48
1771952100	XAUUSD	M5	5141.80	0.00	0.00	5141.40
1771952400	XAUUSD	M5	5149.39	0.00	0.00	5141.79
1771952700	XAUUSD	M5	5152.87	0.00	0.00	5142.49
1771953000	XAUUSD	M5	5156.23	0.00	0.00	5143.42
1771953300	XAUUSD	M5	5160.92	0.00	0.00	5144.56
1771953600	XAUUSD	M5	5160.04	0.00	0.00	5145.71
1771953900	XAUUSD	M5	5158.52	0.00	0.00	5146.58
1771954200	XAUUSD	M5	5158.27	0.00	0.00	5147.40
1771954500	XAUUSD	M5	5158.37	0.00	0.00	5148.16
1771954800	XAUUSD	M5	5160.52	0.00	0.00	5149.01
1771955100	XAUUSD	M5	5160.16	0.00	0.00	5149.82
1771955400	XAUUSD	M5	5159.04	0.00	0.00	5150.46
1771955700	XAUUSD	M5	5163.64	0.00	0.00	5151.29
1771956000	XAUUSD	M5	5167.21	0.00	0.00	5152.37
