timestamp	symbol	timeframe	close	dual_tema_high	dual_tema_low
1771889400	XAUUSD	M5	5245.97	5248.48	5238.25
1771889700	XAUUSD	M5	5240.97	5248.44	5238.66
1771890000	XAUUSD	M5	5242.63	5246.19	5238.68
1771890300	XAUUSD	M5	5242.32	5244.91	5239.44
1771890600	XAUUSD	M5	5234.64	5243.61	5237.44
1771890900	XAUUSD	M5	5235.72	5241.25	5236.11
1771891200	XAUUSD	M5	5230.28	5238.05	5227.16
1771891500	XAUUSD	M5	5227.91	5235.22	5224.30
1771891800	XAUUSD	M5	5229.97	5232.77	5224.10
1771892100	XAUUSD	M5	5231.93	5232.87	5225.77
1771892400	XAUUSD	M5	5235.66	5234.43	5227.00
1771892700	XAUUSD	M5	5225.74	5234.70	5225.39
1771893000	XAUUSD	M5	5228.48	5232.61	5225.06
1771893300	XAUUSD	M5	5227.52	5231.97	5224.34
1771893600	XAUUSD	M5	5230.50	5230.71	5224.88
1771893900	XAUUSD	M5	5229.99	5230.75	5226.43
1771894200	XAUUSD	M5	5227.17	5230.68	5226.49
1771894500	XAUUSD	M5	5224.07	5228.52	5223.83
1771894800	XAUUSD	M5	5213.29	5225.70	5212.56
1771895100	XAUUSD	M5	5207.71	5218.90	5202.84
1771895400	XAUUSD	M5	5184.95	5213.61	5191.15
1771895700	XAUUSD	M5	5160.05	5199.65	5165.38
1771896000	XAUUSD	M5	5150.49	5183.14	5152.16
1771896300	XAUUSD	M5	5164.59	5170.27	5144.16
1771896600	XAUUSD	M5	5170.75	5166.76	5146.30
1771896900	XAUUSD	M5	5164.39	5166.46	5149.33
1771897200	XAUUSD	M5	5173.68	5167.20	5152.72
1771897500	XAUUSD	M5	5178.53	5169.76	5160.04
1771897800	XAUUSD	M5	5167.46	5172.22	5162.05
1771898100	XAUUSD	M5	5177.22	5173.22	5162.54
1771898400	XAUUSD	M5	5171.74	5176.40	5166.45
1771898700	XAUUSD	M5	5172.79	5176.10	5167.11
1771899000	XAUUSD	M5	5172.65	5175.28	5167.46
1771899300	XAUUSD	M5	5172.58	5174.86	5167.12
1771899600	XAUUSD	M5	5169.31	5174.47	5167.69
1771899900	XAUUSD	M5	5173.26	5173.91	5167.90
1771900200	XAUUSD	M5	5184.16	5179.69	5170.91
1771900500	XAUUSD	M5	5187.96	5184.53	5176.72
1771900800	XAUUSD	M5	5183.56	5187.53	5181.55
1771901100	XAUUSD	M5	5186.01	5188.72	5184.47
1771901400	XAUUSD	M5	5184.82	5190.92	5186.59
1771901700	XAUUSD	M5	5190.00	5192.50	5187.32
1771902000	XAUUSD	M5	5186.92	5193.03	5188.76
1771902300	XAUUSD	M5	5187.92	5193.83	5188.96
1771902600	XAUUSD	M5	5188.87	5192.85	5188.72
1771902900	XAUUSD	M5	5186.90	5192.35	5188.74
1771903200	XAUUSD	M5	5187.02	5191.54	5186.80
1771903500	XAUUSD	M5	5182.76	5189.87	5185.11
1771903800	XAUUSD	M5	5186.08	5188.28	5183.85
1771904100	XAUUSD	M5	5184.50	5188.56	5184.10
1771904400	XAUUSD	M5	5179.40	5187.25	5180.43
1771904700	XAUUSD	M5	5175.94	5183.55	5177.04
1771905000	XAUUSD	M5	5175.98	5180.08	5174.66
1771905300	XAUUSD	M5	5172.13	5177.59	5172.02
1771905600	XAUUSD	M5	5164.12	5173.79	5165.58
1771905900	XAUUSD	M5	5168.81	5171.36	5162.07
1771906200	XAUUSD	M5	5168.31	5169.42	5162.60
1771906500	XAUUSD	M5	5171.55	5169.83	5163.90
1771906800	XAUUSD	M5	5171.60	5171.26	5166.01
1771907100	XAUUSD	M5	5172.07	5171.56	5167.39
1771907400	XAUUSD	M5	5167.72	5171.85	5166.80
1771907700	XAUUSD	M5	5169.07	5170.14	5165.97
1771908000	XAUUSD	M5	5164.71	5170.48	5164.99
1771908300	XAUUSD	M5	5170.68	5170.34	5163.89
1771908600	XAUUSD	M5	5168.41	5170.21	5165.41
1771908900	XAUUSD	M5	5168.24	5169.67	5166.48
1771909200	XAUUSD	M5	5170.91	5170.59	5165.52
1771909500	XAUUSD	M5	5170.79	5171.16	5166.37
1771909800	XAUUSD	M5	5172.12	5172.86	5167.93
1771910100	XAUUSD	M5	5172.34	5173.50	5169.49
1771910400	XAUUSD	M5	5173.57	5174.77	5171.16
1771910700	XAUUSD	M5	5167.46	5174.74	5169.60
1771911000	XAUUSD	M5	5172.36	5174.30	5167.44
1771911300	XAUUSD	M5	5171.22	5174.85	5167.56
1771911600	XAUUSD	M5	5172.77	5174.81	5168.56
1771911900	XAUUSD	M5	5174.39	5176.22	5170.52
1771912200	XAUUSD	M5	5180.92	5179.37	5172.26
1771912500	XAUUSD	M5	5182.53	5183.19	5176.33
1771912800	XAUUSD	M5	5180.50	5184.07	5177.71
1771913100	XAUUSD	M5	5183.03	5185.46	5178.71
1771913400	XAUUSD	M5	5182.71	5186.09	5181.08
1771913700	XAUUSD	M5	5180.91	5185.75	5181.84
1771914000	XAUUSD	M5	5177.84	5184.18	5179.70
1771914300	XAUUSD	M5	5168.85	5181.47	5174.03
1771914600	XAUUSD	M5	5166.34	5177.16	5169.11
1771914900	XAUUSD	M5	5173.16	5174.94	5162.23
1771915200	XAUUSD	M5	5169.02	5173.47	5163.85
1771915500	XAUUSD	M5	5173.23	5172.94	5165.28
1771915800	XAUUSD	M5	5168.55	5172.36	5165.95
1771916100	XAUUSD	M5	5173.55	5173.00	5166.66
1771916400	XAUUSD	M5	5170.45	5172.78	5167.56
1771916700	XAUUSD	M5	5167.18	5172.46	5166.39
1771917000	XAUUSD	M5	5171.39	5171.57	5165.01
1771917300	XAUUSD	M5	5178.90	5174.73	5167.71
1771917600	XAUUSD	M5	5174.70	5176.98	5168.60
1771917900	XAUUSD	M5	5183.34	5180.35	5170.60
1771918200	XAUUSD	M5	5179.55	5182.60	5172.85
1771918500	XAUUSD	M5	5178.19	5183.36	5175.68
1771918800	XAUUSD	M5	5179.90	5184.31	5177.38
1771919100	XAUUSD	M5	5176.84	5182.92	5177.24
1771919400	XAUUSD	M5	5180.85	5182.57	5177.77
1771919700	XAUUSD	M5	5179.38	5183.17	5178.52
1771920000	XAUUSD	M5	5172.85	5181.71	5176.02
1771920300	XAUUSD	M5	5175.46	5178.81	5173.15
