timestamp	symbol	timeframe	close	ha_open	ha_high	ha_low	ha_close	ha_color	ha_body_size	ha_body_zscore	ha_trend
1744207200	XAUUSD	M5	5188.33	5183.01	5189.76	5183.01	5187.09	1	4.08	0.22994	5
1744207500	XAUUSD	M5	5185.5	5182.23	5185.77	5181.12	5183.8	1	1.57	-0.59748	6
1744207800	XAUUSD	M5	5182.65	5182.83	5183.15	5178.78	5181.63	-1	1.2	-0.72309	-1
1744208100	XAUUSD	M5	5181.88	5183.35	5184.46	5181.13	5182.31	-1	1.04	-0.77377	-2
1744208400	XAUUSD	M5	5181.7	5183.33	5185.27	5181.7	5183.37	1	0.03	-1.10864	1
1744208700	XAUUSD	M5	5184.73	5182.23	5186.31	5182.23	5184.43	1	2.2	-0.39018	2
1744209000	XAUUSD	M5	5183.98	5183.17	5184	5177.43	5181.29	-1	1.88	-0.49715	-1
1744209300	XAUUSD	M5	5179.74	5184.47	5184.89	5179.35	5181.87	-1	2.59	-0.26017	-2
1744209600	XAUUSD	M5	5183.54	5183.62	5187.49	5183.37	5185.31	1	1.69	-0.55844	1
1744209900	XAUUSD	M5	5186.84	5181.99	5187.01	5181.99	5185.26	1	3.28	-0.03116	2
1744210200	XAUUSD	M5	5183.84	5180.51	5185.85	5180.51	5183.46	1	2.95	-0.13668	3
1744210500	XAUUSD	M5	5182.11	5179.25	5183.1	5179.25	5181.77	1	2.52	-0.27676	4
1744210800	XAUUSD	M5	5181.07	5177.92	5181.7	5177.92	5180.58	1	2.66	-0.22783	5
1744211100	XAUUSD	M5	5179.73	5175.25	5182.87	5175.25	5180.59	1	5.34	0.65545	6
1744211400	XAUUSD	M5	5181.67	5172.6	5182.67	5172.6	5177.9	1	5.29	0.64261	7
1744211700	XAUUSD	M5	5173.62	5171.34	5176.25	5171.34	5173.87	1	2.54	-0.26176	8
1744212000	XAUUSD	M5	5173.3	5169.28	5174.58	5169.28	5173.39	1	4.11	0.25736	9
1744212300	XAUUSD	M5	5173.18	5168.22	5173.98	5166.75	5170.34	1	2.12	-0.39337	10
