z-score_timestamp	z-score_symbol	z-score_timeframe	z-score_close	z-score_open	z-score_high	z-score_low	body_direction	body_size	body_classification
1788171303	XAUUSD	M15	4448.42	4451.64	4452.07	4446.45	-1	0.32029	3
1788172203	XAUUSD	M15	4450.93	4448.35	4451.56	4447.54	1	0.44192	0
1788173103	XAUUSD	M15	4453.90	4450.87	4455.51	4449.34	1	0.35800	0
1788174003	XAUUSD	M15	4453.69	4453.85	4457.54	4453.10	-1	0.89471	3
1788174903	XAUUSD	M15	4463.25	4453.78	4464.03	4452.69	1	0.85294	0
1788175803	XAUUSD	M15	4454.77	4463.24	4463.93	4453.59	-1	0.66358	3
1788176703	XAUUSD	M15	4455.42	4454.65	4456.20	4452.52	1	0.78070	0
1788177603	XAUUSD	M15	4457.32	4455.42	4460.91	4451.02	1	0.56980	0
1788178503	XAUUSD	M15	4447.62	4457.32	4458.72	4447.26	-1	0.89146	3
1788179403	XAUUSD	M15	4440.51	4447.68	4449.98	4438.96	-1	0.41778	3
1788180303	XAUUSD	M15	4435.85	4440.44	4441.50	4435.42	-1	0.06752	3
1788181203	XAUUSD	M15	4445.99	4435.91	4446.66	4433.85	1	0.95852	0
1788182103	XAUUSD	M15	4445.62	4446.00	4448.28	4439.33	-1	0.86027	3
1788183003	XAUUSD	M15	4433.66	4445.87	4447.34	4432.03	-1	1.35115	3
1788183903	XAUUSD	M15	4418.48	4433.63	4433.63	4415.83	-1	1.88876	4
1788184803	XAUUSD	M15	4427.64	4418.11	4427.88	4416.16	1	0.83785	0
1788185703	XAUUSD	M15	4420.20	4427.47	4431.05	4416.56	-1	0.41424	3
1788186603	XAUUSD	M15	4433.00	4420.20	4435.96	4419.26	1	1.43778	0
1788187503	XAUUSD	M15	4431.60	4433.02	4436.09	4426.13	-1	0.67611	3
1788188403	XAUUSD	M15	4435.25	4431.69	4437.63	4428.16	1	0.27796	0
1788189303	XAUUSD	M15	4433.04	4435.25	4437.83	4429.08	-1	0.52851	3
1788190203	XAUUSD	M15	4427.40	4432.90	4434.16	4426.37	-1	0.08366	3
1788191103	XAUUSD	M15	4426.26	4427.37	4433.59	4424.63	-1	0.73093	3
1788192003	XAUUSD	M15	4434.81	4426.44	4437.09	4423.76	1	0.61923	0
1788192903	XAUUSD	M15	4438.40	4434.78	4438.64	4433.29	1	0.26201	0
1788193803	XAUUSD	M15	4435.75	4438.42	4440.25	4431.29	-1	0.43562	3
1788194703	XAUUSD	M15	4433.32	4435.71	4437.62	4432.33	-1	0.48497	3
1788195603	XAUUSD	M15	4433.91	4433.28	4435.29	4430.79	1	0.80989	0
1788196503	XAUUSD	M15	4430.49	4433.53	4437.05	4428.76	-1	0.35891	3
1788197403	XAUUSD	M15	4436.51	4430.86	4436.87	4429.94	1	0.12535	0
1788198303	XAUUSD	M15	4436.57	4436.61	4440.11	4435.70	-1	0.91598	3
1788199203	XAUUSD	M15	4433.72	4436.56	4436.83	4430.43	-1	0.38960	3
1788200103	XAUUSD	M15	4429.93	4433.72	4434.53	4429.66	-1	0.20750	3
1788201003	XAUUSD	M15	4429.22	4429.79	4430.28	4426.28	-1	0.81632	3
1788201903	XAUUSD	M15	4430.87	4429.29	4434.65	4429.11	1	0.62317	0
1788202803	XAUUSD	M15	4433.73	4430.87	4435.47	4429.16	1	0.37754	0
1788203703	XAUUSD	M15	4440.40	4433.74	4442.43	4432.96	1	0.34853	0
1788204603	XAUUSD	M15	4443.04	4440.41	4445.34	4439.08	1	0.42222	0
1788205503	XAUUSD	M15	4453.26	4443.04	4453.75	4441.61	1	1.02521	0
1788206403	XAUUSD	M15	4450.05	4453.34	4455.71	4449.77	-1	0.30000	3
1788207303	XAUUSD	M15	4447.34	4450.04	4450.37	4446.89	-1	0.41116	3
1788208203	XAUUSD	M15	4448.23	4447.34	4449.30	4446.85	1	0.75500	0
1788209103	XAUUSD	M15	4449.12	4448.20	4449.16	4446.55	1	0.74992	0
1788213603	XAUUSD	M15	4451.82	4450.04	4455.85	4447.22	1	0.58205	0
1788214503	XAUUSD	M15	4449.83	4451.64	4452.22	4447.92	-1	0.57343	3
1788215403	XAUUSD	M15	4447.93	4449.83	4451.16	4447.44	-1	0.55371	3
1788216303	XAUUSD	M15	4447.09	4447.89	4448.32	4445.64	-1	0.76250	3
1788217203	XAUUSD	M15	4444.13	4446.98	4447.19	4443.84	-1	0.36851	3
1788218103	XAUUSD	M15	4443.32	4444.13	4444.35	4441.75	-1	0.75919	3
1788219003	XAUUSD	M15	4445.60	4443.32	4447.94	4443.14	1	0.47801	0
1788219903	XAUUSD	M15	4452.31	4445.76	4452.44	4445.63	1	0.34105	0
1788220803	XAUUSD	M15	4455.24	4452.24	4458.03	4446.51	1	0.33993	0
1788221703	XAUUSD	M15	4460.10	4455.18	4461.41	4452.73	1	0.02816	0
1788222603	XAUUSD	M15	4453.36	4460.30	4460.97	4452.02	-1	0.41423	3
1788223503	XAUUSD	M15	4453.60	4453.29	4461.41	4451.16	1	0.85229	0
1788224403	XAUUSD	M15	4446.39	4453.60	4456.84	4445.50	-1	0.46821	3
1788225303	XAUUSD	M15	4439.82	4446.44	4447.81	4437.95	-1	0.35514	3
1788226203	XAUUSD	M15	4445.69	4439.89	4445.69	4436.46	1	0.19600	0
1788227103	XAUUSD	M15	4444.42	4445.62	4446.66	4439.48	-1	0.68542	3
1788228003	XAUUSD	M15	4445.07	4444.41	4449.14	4441.88	1	0.78913	0
1788228903	XAUUSD	M15	4440.60	4445.06	4448.46	4440.40	-1	0.06086	3
1788229803	XAUUSD	M15	4431.86	4440.65	4440.97	4431.62	-1	0.77047	3
1788230703	XAUUSD	M15	4443.09	4431.86	4443.19	4427.73	1	1.23254	0
1788231603	XAUUSD	M15	4439.93	4443.09	4444.12	4438.64	-1	0.31496	3
1788232503	XAUUSD	M15	4434.07	4439.87	4440.39	4431.79	-1	0.18943	3
1788233403	XAUUSD	M15	4438.59	4434.07	4438.86	4433.52	1	0.05635	0
1788234303	XAUUSD	M15	4436.70	4438.50	4443.31	4436.70	-1	0.57803	3
1788235203	XAUUSD	M15	4431.17	4436.66	4437.74	4430.19	-1	0.12886	3
1788236103	XAUUSD	M15	4429.68	4431.18	4433.79	4429.58	-1	0.63656	3
1788237003	XAUUSD	M15	4427.83	4429.68	4430.57	4426.60	-1	0.56990	3
1788237903	XAUUSD	M15	4426.69	4427.89	4429.70	4425.39	-1	0.69421	3
1788238803	XAUUSD	M15	4429.35	4426.69	4432.62	4426.24	1	0.41393	0
1788239703	XAUUSD	M15	4426.69	4429.42	4430.68	4425.54	-1	0.40103	3
1788240603	XAUUSD	M15	4442.75	4426.86	4443.62	4424.24	1	2.10746	1
1788241503	XAUUSD	M15	4440.15	4442.75	4445.96	4439.93	-1	0.43070	3
1788242403	XAUUSD	M15	4432.86	4440.05	4440.56	4431.81	-1	0.45339	3
1788243303	XAUUSD	M15	4429.02	4432.85	4435.03	4427.75	-1	0.18878	3
1788244203	XAUUSD	M15	4434.93	4428.89	4435.23	4428.48	1	0.23620	0
1788245103	XAUUSD	M15	4429.64	4434.93	4435.33	4428.22	-1	0.09086	3
1788246003	XAUUSD	M15	4433.20	4429.65	4435.00	4429.49	1	0.24355	0
1788246903	XAUUSD	M15	4426.20	4433.19	4433.65	4425.92	-1	0.41736	3
