zigzag_TimeStamp	zigzag_symbol	zigzag_timeframe	zigzag_close	zigzag_Type	CurrentPoint	CurrentPrChg	Current%Chg	Current%ChgClass	CurrentBars	CurrentBarsClass	CurrentPrPerBar	CurrentPrPerBarClass	CurrentSlope	CurrentCategory
1787771103	XAUUSD	M5	4592.99000	Bottom	4591.07000	-13.43000	-0.29	3	12	3	-1.11917	3	-48.2185	HL
1787772603	XAUUSD	M5	4597.54000	Peak	4601.68000	10.61000	0.23	0	5	0	2.12200	0	64.7677	LH
1787775603	XAUUSD	M5	4589.64000	Bottom	4584.20000	-17.48000	-0.38	3	10	3	-1.74800	3	-60.2269	LL
1787788803	XAUUSD	M5	4624.35000	Peak	4626.98000	42.78000	0.93	0	32	1	1.33687	0	53.2030	HH
1787791803	XAUUSD	M5	4602.73000	Bottom	4600.62000	-26.36000	-0.57	3	10	3	-2.63600	3	-69.2251	HL
1787796003	XAUUSD	M5	4638.67000	Peak	4642.96000	42.34000	0.92	0	14	0	3.02429	0	71.7032	HH
1787798403	XAUUSD	M5	4627.41000	Bottom	4623.67000	-19.29000	-0.42	3	8	3	-2.41125	3	-67.4751	HL
1787800803	XAUUSD	M5	4637.92000	Peak	4638.58000	14.91000	0.32	0	8	0	1.86375	0	61.7841	LH
1787815503	XAUUSD	M5	4599.44000	Bottom	4593.59000	-44.99000	-0.97	3	49	5	-0.91816	3	-42.5570	LL
1787817903	XAUUSD	M5	4603.19000	Peak	4606.84000	13.25000	0.29	0	8	0	1.65625	0	58.8775	LH
1787824803	XAUUSD	M5	4572.58000	Bottom	4569.24000	-37.60000	-0.82	3	23	3	-1.63478	3	-58.5458	LL
1787832003	XAUUSD	M5	4598.34000	Peak	4601.09000	31.85000	0.70	0	24	0	1.32708	0	53.0008	LH
1787838303	XAUUSD	M5	4577.11000	Bottom	4565.69000	-35.40000	-0.77	3	21	3	-1.68571	3	-59.3227	LL
1787849403	XAUUSD	M5	4615.92000	Peak	4616.61000	50.92000	1.12	1	37	1	1.37622	0	53.9967	HH
1787855403	XAUUSD	M5	4602.12000	Bottom	4601.10000	-15.51000	-0.34	3	20	3	-0.77550	3	-37.7936	HL
1787857503	XAUUSD	M5	4616.85000	Peak	4617.97000	16.87000	0.37	0	7	0	2.41000	0	67.4646	HH
1787864103	XAUUSD	M5	4601.92000	Bottom	4600.20000	-17.77000	-0.38	3	22	3	-0.80773	3	-38.9288	LL
1787871603	XAUUSD	M5	4609.41000	Peak	4611.43000	11.23000	0.24	0	13	0	0.86385	0	40.8220	LH
1787878503	XAUUSD	M5	4588.78000	Bottom	4585.67000	-25.76000	-0.56	3	23	3	-1.12000	3	-48.2397	LL
1787879403	XAUUSD	M5	4593.56000	Peak	4602.18000	16.51000	0.36	0	3	0	5.50333	2	79.7013	LH
1787882403	XAUUSD	M5	4577.22000	Bottom	4575.06000	-27.12000	-0.59	3	10	3	-2.71200	3	-69.7595	LL
1787887503	XAUUSD	M5	4588.01000	Peak	4590.14000	15.08000	0.33	0	17	0	0.88706	0	41.5749	LH
1787889903	XAUUSD	M5	4579.15000	Bottom	4577.96000	-12.18000	-0.27	3	8	3	-1.52250	3	-56.7025	HL
1787894703	XAUUSD	M5	4584.08000	Peak	4586.30000	8.34000	0.18	0	16	0	0.52125	0	27.5308	LH
1787895603	XAUUSD	M5	4572.75000	Bottom	4571.78000	-14.52000	-0.32	3	3	3	-4.84000	5	-78.3263	LL
1787904003	XAUUSD	M5	4612.49000	Peak	4614.53000	42.75000	0.94	0	28	0	1.52679	0	56.7764	HH
1787908503	XAUUSD	M5	4602.21000	Bottom	4600.50000	-14.03000	-0.30	3	15	3	-0.93533	3	-43.0862	HL
1787912103	XAUUSD	M5	4604.43000	Peak	4609.97000	9.47000	0.21	0	12	0	0.78917	0	38.2793	LH
1787918403	XAUUSD	M5	4594.69000	Bottom	4590.92000	-19.05000	-0.41	3	21	3	-0.90714	3	-42.2125	LL
1787919903	XAUUSD	M5	4601.41000	Peak	4603.61000	12.69000	0.28	0	5	0	2.53800	0	68.4950	LH
1787920503	XAUUSD	M5	4589.54000	Bottom	4589.20000	-14.41000	-0.31	3	2	3	-7.20500	5	-82.0983	LL
1787925303	XAUUSD	M5	4608.55000	Peak	4627.11000	37.91000	0.83	0	16	0	2.36937	0	67.1177	HH
1787927103	XAUUSD	M5	4552.04000	Bottom	4530.21000	-96.90000	-2.09	5	6	3	-16.15000	5	-86.4568	LL
1787929203	XAUUSD	M5	4580.07000	Peak	4582.91000	52.70000	1.16	1	7	0	7.52857	2	82.4338	LH
1787942403	XAUUSD	M5	4451.32000	Bottom	4445.40000	-137.51000	-3.00	5	44	5	-3.12523	3	-72.2565	LL
1787946003	XAUUSD	M5	4465.06000	Peak	4466.90000	21.50000	0.48	0	12	0	1.79167	0	60.8324	LH
1788127203	XAUUSD	M5	4445.91000	Bottom	4429.92000	-36.98000	-0.83	3	16	3	-2.31125	3	-66.6035	LL
1788131103	XAUUSD	M5	4465.33000	Peak	4466.76000	36.84000	0.83	0	13	0	2.83385	0	70.5632	LH
1788133503	XAUUSD	M5	4439.63000	Bottom	4436.05000	-30.71000	-0.69	3	8	3	-3.83875	3	-75.3989	HL
1788136803	XAUUSD	M5	4465.16000	Peak	4472.10000	36.05000	0.81	0	11	0	3.27727	0	73.0314	HH
1788144303	XAUUSD	M5	4401.67000	Bottom	4396.53000	-75.57000	-1.69	5	25	3	-3.02280	3	-71.6948	LL
1788146403	XAUUSD	M5	4430.85000	Peak	4433.89000	37.36000	0.85	0	7	0	5.33714	0	79.3878	LH
1788150603	XAUUSD	M5	4416.31000	Bottom	4412.89000	-21.00000	-0.47	3	14	3	-1.50000	3	-56.3099	HL
1788163203	XAUUSD	M5	4448.45000	Peak	4449.50000	36.61000	0.83	0	42	2	0.87167	0	41.0776	HH
1788166203	XAUUSD	M5	4434.22000	Bottom	4433.77000	-15.73000	-0.35	3	10	3	-1.57300	3	-57.5547	HL
1788175503	XAUUSD	M5	4463.25000	Peak	4464.03000	30.26000	0.68	0	31	0	0.97613	0	44.3079	HH
1788184503	XAUUSD	M5	4418.48000	Bottom	4415.83000	-48.20000	-1.08	3	30	3	-1.60667	3	-58.1016	LL
1788189303	XAUUSD	M5	4432.19000	Peak	4437.83000	22.00000	0.50	0	16	0	1.37500	0	53.9726	LH
1788192003	XAUUSD	M5	4430.39000	Bottom	4423.76000	-14.07000	-0.32	3	9	3	-1.56333	3	-57.3946	HL
1788193803	XAUUSD	M5	4436.45000	Peak	4440.25000	16.49000	0.37	0	6	0	2.74833	0	70.0057	HH
1788197103	XAUUSD	M5	4430.49000	Bottom	4428.76000	-11.49000	-0.26	3	11	3	-1.04455	3	-46.2481	HL
1788198303	XAUUSD	M5	4438.78000	Peak	4440.11000	11.35000	0.26	0	4	0	2.83750	0	70.5864	LH
1788201003	XAUUSD	M5	4427.55000	Bottom	4426.28000	-13.83000	-0.31	3	9	3	-1.53667	3	-56.9456	LL
1788206403	XAUUSD	M5	4452.78000	Peak	4455.71000	29.43000	0.66	0	18	0	1.63500	0	58.5492	HH
1788209403	XAUUSD	M5	4448.20000	Bottom	4446.55000	-9.16000	-0.21	3	10	3	-0.91600	3	-42.4897	HL
1788214203	XAUUSD	M5	4451.82000	Peak	4455.85000	9.30000	0.21	0	4	0	2.32500	0	66.7271	HH
