ohlcv_timestamp	ohlcv_symbol	ohlcv_timeframe	ohlcv_close	ohlcv_open	ohlcv_high	ohlcv_low	ohlcv_volume
1787542803	XAUUSD	M5	4642.94000	4647.51000	4647.99000	4642.72000	510
1787543103	XAUUSD	M5	4642.71000	4642.70000	4644.68000	4642.33000	479
1787543403	XAUUSD	M5	4641.24000	4642.79000	4644.89000	4641.24000	426
1787543703	XAUUSD	M5	4641.66000	4641.36000	4643.65000	4640.14000	479
1787544003	XAUUSD	M5	4639.83000	4641.65000	4642.69000	4637.97000	542
1787544303	XAUUSD	M5	4633.89000	4639.83000	4639.83000	4632.63000	536
1787544603	XAUUSD	M5	4638.64000	4633.88000	4638.94000	4633.01000	647
1787544903	XAUUSD	M5	4640.12000	4638.69000	4640.92000	4634.67000	547
1787545203	XAUUSD	M5	4637.99000	4640.22000	4640.33000	4637.45000	499
1787545503	XAUUSD	M5	4640.62000	4637.85000	4642.04000	4637.73000	540
1787545803	XAUUSD	M5	4635.79000	4640.62000	4640.75000	4633.07000	511
1787546103	XAUUSD	M5	4636.61000	4635.79000	4637.53000	4634.90000	533
1787546403	XAUUSD	M5	4638.18000	4636.59000	4638.58000	4634.97000	453
1787546703	XAUUSD	M5	4636.56000	4638.17000	4638.99000	4636.02000	477
1787547003	XAUUSD	M5	4639.95000	4636.54000	4640.47000	4635.92000	473
1787547303	XAUUSD	M5	4638.97000	4640.10000	4640.24000	4637.22000	404
1787547603	XAUUSD	M5	4639.63000	4638.95000	4641.78000	4638.74000	556
1787547903	XAUUSD	M5	4639.81000	4639.51000	4642.96000	4639.21000	558
1787548203	XAUUSD	M5	4643.54000	4639.67000	4643.54000	4639.06000	482
1787548503	XAUUSD	M5	4643.24000	4643.44000	4646.63000	4641.53000	512
1787548803	XAUUSD	M5	4638.78000	4643.24000	4643.26000	4638.32000	542
1787549103	XAUUSD	M5	4636.12000	4638.72000	4642.10000	4636.11000	507
1787549403	XAUUSD	M5	4632.76000	4635.42000	4639.67000	4630.03000	830
1787549703	XAUUSD	M5	4633.24000	4632.85000	4639.09000	4630.53000	746
1787550003	XAUUSD	M5	4633.57000	4633.24000	4635.55000	4631.42000	742
1787550303	XAUUSD	M5	4638.40000	4633.53000	4638.65000	4630.22000	727
1787550603	XAUUSD	M5	4638.50000	4638.67000	4643.00000	4636.32000	726
1787550903	XAUUSD	M5	4640.67000	4638.65000	4641.40000	4637.44000	725
1787551203	XAUUSD	M5	4644.92000	4640.91000	4645.92000	4639.47000	806
1787551503	XAUUSD	M5	4648.93000	4644.94000	4651.63000	4643.21000	783
1787551803	XAUUSD	M5	4652.19000	4649.02000	4652.35000	4646.97000	703
1787552103	XAUUSD	M5	4656.25000	4651.74000	4659.72000	4651.74000	790
1787552403	XAUUSD	M5	4650.07000	4656.17000	4658.38000	4646.35000	781
1787552703	XAUUSD	M5	4642.63000	4650.24000	4650.24000	4640.92000	767
1787553003	XAUUSD	M5	4650.58000	4642.89000	4652.38000	4642.31000	755
1787553303	XAUUSD	M5	4651.11000	4650.58000	4653.68000	4650.19000	667
1787553603	XAUUSD	M5	4642.82000	4651.08000	4651.75000	4641.97000	715
1787553903	XAUUSD	M5	4650.20000	4643.10000	4650.48000	4643.05000	669
1787554203	XAUUSD	M5	4651.22000	4650.17000	4653.81000	4646.02000	698
1787554503	XAUUSD	M5	4649.95000	4651.32000	4651.32000	4648.91000	680
1787554803	XAUUSD	M5	4648.83000	4649.95000	4654.45000	4647.32000	704
1787555103	XAUUSD	M5	4646.58000	4648.79000	4650.12000	4644.34000	637
1787555403	XAUUSD	M5	4648.14000	4646.58000	4649.32000	4644.39000	650
1787555703	XAUUSD	M5	4646.01000	4648.50000	4650.34000	4642.72000	639
1787556003	XAUUSD	M5	4643.46000	4646.02000	4647.95000	4642.36000	612
1787556303	XAUUSD	M5	4642.73000	4643.43000	4647.36000	4642.41000	569
1787556603	XAUUSD	M5	4646.63000	4642.72000	4646.68000	4641.35000	552
1787556903	XAUUSD	M5	4644.51000	4646.43000	4648.07000	4643.18000	548
1787557203	XAUUSD	M5	4634.85000	4644.60000	4645.02000	4634.85000	747
1787557503	XAUUSD	M5	4631.03000	4634.85000	4635.50000	4630.46000	711
1787557803	XAUUSD	M5	4636.02000	4631.11000	4637.08000	4630.35000	637
1787558103	XAUUSD	M5	4641.51000	4636.06000	4643.78000	4635.81000	595
1787558403	XAUUSD	M5	4640.82000	4641.56000	4643.70000	4636.60000	768
1787558703	XAUUSD	M5	4638.47000	4640.75000	4645.31000	4636.55000	716
1787559003	XAUUSD	M5	4637.63000	4638.37000	4640.27000	4636.03000	633
1787559303	XAUUSD	M5	4636.06000	4637.50000	4637.50000	4631.79000	661
1787559603	XAUUSD	M5	4635.87000	4636.06000	4638.79000	4634.87000	569
1787559903	XAUUSD	M5	4629.65000	4635.88000	4639.72000	4629.65000	626
1787560203	XAUUSD	M5	4634.32000	4629.48000	4634.68000	4628.93000	595
1787560503	XAUUSD	M5	4637.31000	4634.36000	4637.41000	4633.77000	513
1787560803	XAUUSD	M5	4645.24000	4637.30000	4646.04000	4636.26000	569
1787561103	XAUUSD	M5	4643.63000	4645.28000	4645.95000	4642.22000	562
1787561403	XAUUSD	M5	4641.45000	4643.68000	4644.48000	4640.15000	514
1787561703	XAUUSD	M5	4638.13000	4641.43000	4642.40000	4636.16000	515
1787562003	XAUUSD	M5	4642.48000	4638.04000	4643.16000	4637.25000	595
1787562303	XAUUSD	M5	4642.07000	4642.48000	4644.70000	4640.43000	513
1787562603	XAUUSD	M5	4641.88000	4642.07000	4643.63000	4639.72000	478
1787562903	XAUUSD	M5	4636.72000	4641.88000	4641.92000	4634.97000	522
1787563203	XAUUSD	M5	4636.94000	4636.66000	4639.17000	4636.31000	461
1787563503	XAUUSD	M5	4635.87000	4636.91000	4638.54000	4635.51000	438
1787563803	XAUUSD	M5	4635.25000	4635.97000	4640.71000	4634.42000	552
1787564103	XAUUSD	M5	4637.04000	4635.23000	4637.29000	4632.75000	483
1787564403	XAUUSD	M5	4639.21000	4637.12000	4639.86000	4636.30000	506
1787564703	XAUUSD	M5	4643.87000	4639.12000	4644.92000	4638.96000	555
1787565003	XAUUSD	M5	4644.16000	4643.81000	4645.17000	4641.68000	406
1787565303	XAUUSD	M5	4645.83000	4644.16000	4645.88000	4643.16000	402
1787565603	XAUUSD	M5	4648.69000	4645.78000	4649.89000	4645.61000	513
1787565903	XAUUSD	M5	4646.83000	4648.69000	4650.11000	4645.82000	468
1787566203	XAUUSD	M5	4648.11000	4646.99000	4650.04000	4645.32000	543
1787566503	XAUUSD	M5	4646.80000	4648.12000	4648.47000	4646.12000	485
1787566803	XAUUSD	M5	4644.96000	4646.75000	4646.92000	4642.87000	499
1787567103	XAUUSD	M5	4643.23000	4644.90000	4645.68000	4642.24000	532
1787567403	XAUUSD	M5	4645.09000	4643.11000	4645.43000	4642.68000	512
