Non_B_timestamp	Non_B_symbol	Non_B_timeframe	Non_B_close	Non_B_Base_FL	Non_B_UOEDT	Non_B_LOEDT	Non_B_horiz_high_map	Non_B_horiz_low_map	Non_B_ssa	Non_B_ema_ssa	Non_B_crossing
1784911502	XAUUSD	M15	4067.06						4068.71603646	4070.22643321	0
1784912402	XAUUSD	M15	4064.16						4067.06601107	4068.64622214	0
1784913302	XAUUSD	M15	4068.35						4065.60830650	4067.12726432	0
1784914202	XAUUSD	M15	4066.55						4064.08447785	4065.60587108	0
1784915102	XAUUSD	M15	4063.45						4062.38855009	4063.99721059	0
1784916002	XAUUSD	M15	4061.66						4060.46047017	4062.22884038	0
1784916902	XAUUSD	M15	4055.28						4058.29914107	4060.26399072	0
1784917802	XAUUSD	M15	4052.21						4056.09346373	4058.17872723	0
1784918702	XAUUSD	M15	4054.43						4054.02882555	4056.10377639	0
1784919602	XAUUSD	M15	4052.36						4052.24201174	4054.17289406	0
1784920502	XAUUSD	M15	4051.59					4049.22000	4051.02896213	4052.60092810	0
1784921402	XAUUSD	M15	4056.90						4050.68397379	4051.64245095	0
1784922302	XAUUSD	M15	4053.69						4051.35483533	4051.49864314	0
1784923202	XAUUSD	M15	4052.59						4053.35637609	4052.42750961	1
1784924102	XAUUSD	M15	4053.72						4056.83357731	4054.63054346	0
1784925002	XAUUSD	M15	4055.52						4061.68389529	4058.15721938	0
1784925902	XAUUSD	M15	4052.95						4067.59389238	4062.87555588	0
1785103202	XAUUSD	M15	4088.10						4074.19837901	4068.53696744	0
1785104102	XAUUSD	M15	4086.53						4080.06404890	4074.30050817	0
1785105002	XAUUSD	M15	4091.37						4084.82795541	4079.56423179	0
1785105902	XAUUSD	M15	4089.75						4088.28963501	4083.92693340	0
1785106802	XAUUSD	M15	4084.76						4090.66323718	4087.29508529	0
1785107702	XAUUSD	M15	4084.85						4092.46116943	4089.87812736	0
1785108602	XAUUSD	M15	4089.03						4094.11219077	4091.99515907	0
1785109502	XAUUSD	M15	4094.14						4095.82727609	4093.91121758	0
1785110402	XAUUSD	M15	4115.52				4116.25000		4097.69032347	4095.80077052	0
1785111302	XAUUSD	M15	4094.63						4099.26357741	4097.53217397	0
1785112202	XAUUSD	M15	4100.07						4101.09224232	4099.31220814	0
1785113102	XAUUSD	M15	4100.65						4102.91235106	4101.11227960	0
1785114002	XAUUSD	M15	4107.21						4104.48703518	4102.79965739	0
1785114902	XAUUSD	M15	4100.09						4105.40420904	4104.10193322	0
1785115802	XAUUSD	M15	4102.78						4105.63105536	4104.86649429	0
1785116702	XAUUSD	M15	4110.15						4104.97322561	4104.91985995	0
1785117602	XAUUSD	M15	4105.51						4103.23534559	4104.07760277	1
1785118502	XAUUSD	M15	4103.06						4100.69486835	4102.38623556	0
1785119402	XAUUSD	M15	4096.51						4097.70977236	4100.04800396	0
1785120302	XAUUSD	M15	4093.75						4094.80108454	4097.42454425	0
1785121202	XAUUSD	M15	4091.97						4092.33415799	4094.87935112	0
1785122102	XAUUSD	M15	4085.56						4090.50909621	4092.69422366	0
1785123002	XAUUSD	M15	4089.70						4089.50101230	4091.09761798	0
1785123902	XAUUSD	M15	4091.04						4089.07846347	4090.08804073	0
1785124802	XAUUSD	M15	4090.04						4089.02402982	4089.55603527	0
1785125702	XAUUSD	M15	4089.12						4089.17094201	4089.36348864	0
1785126602	XAUUSD	M15	4090.49						4089.44009362	4089.40179113	1
1785127502	XAUUSD	M15	4090.22						4089.78147800	4089.59163456	0
1785128402	XAUUSD	M15	4094.85						4090.25191158	4089.92177307	0
1785129302	XAUUSD	M15	4087.08						4090.82620177	4090.37398742	0
1785130202	XAUUSD	M15	4088.04						4091.80895797	4091.09147270	0
1785131102	XAUUSD	M15	4092.91					4084.55000	4093.12848617	4092.10997943	0
1785132002	XAUUSD	M15	4094.42						4094.61205537	4093.36101740	0
1785132902	XAUUSD	M15	4096.16						4096.06375190	4094.71238465	0
1785133802	XAUUSD	M15	4098.70						4097.30499544	4096.00869004	0
1785134702	XAUUSD	M15	4096.04						4098.10912098	4097.05890551	0
1785135602	XAUUSD	M15	4102.04						4098.42683213	4097.74286882	0
1785136502	XAUUSD	M15	4103.20				4105.97000		4098.01627771	4097.87957327	0
1785137402	XAUUSD	M15	4097.22						4096.85653698	4097.36805512	1
1785138302	XAUUSD	M15	4088.78						4095.22867415	4096.29836464	0
1785139202	XAUUSD	M15	4091.29						4093.65422008	4094.97629236	0
1785140102	XAUUSD	M15	4090.92						4092.32920584	4093.65274910	0
1785141002	XAUUSD	M15	4091.20						4091.47398255	4092.56336583	0
1785141902	XAUUSD	M15	4095.14						4091.19724809	4091.88030696	0
1785142802	XAUUSD	M15	4094.03						4091.44330983	4091.66180839	0
1785143702	XAUUSD	M15	4091.52						4092.18559394	4091.92370117	1
1785144602	XAUUSD	M15	4094.17						4093.36697887	4092.64534002	0
1785145502	XAUUSD	M15	4096.20						4094.76149683	4093.70341842	0
1785146402	XAUUSD	M15	4090.94						4096.10739832	4094.90540837	0
1785147302	XAUUSD	M15	4093.13						4097.34171999	4096.12356418	0
1785148202	XAUUSD	M15	4100.42						4098.21769756	4097.17063087	0
1785149102	XAUUSD	M15	4099.49						4098.40929802	4097.78996445	0
1785150002	XAUUSD	M15	4101.87						4097.90641901	4097.84819173	0
1785150902	XAUUSD	M15	4097.05						4096.68941749	4097.26880461	1
1785151802	XAUUSD	M15	4095.64						4094.99486012	4096.13183236	0
1785152702	XAUUSD	M15	4093.88						4092.99604417	4094.56393826	0
1785153602	XAUUSD	M15	4087.65						4090.84738750	4092.70566288	0
1785154502	XAUUSD	M15	4086.71						4088.76285794	4090.73426041	0
1785155402	XAUUSD	M15	4086.78						4086.75172003	4088.74299022	0
1785156302	XAUUSD	M15	4083.89						4084.71798190	4086.73048606	0
1785157202	XAUUSD	M15	4084.82						4082.65532635	4084.69290620	0
1785158102	XAUUSD	M15	4076.33						4080.46870448	4082.58080534	0
1785159002	XAUUSD	M15	4086.66						4078.36064618	4080.47072576	0
1785159902	XAUUSD	M15	4074.16						4076.13917830	4078.30495203	0
1785160802	XAUUSD	M15	4076.92						4074.30113247	4076.30304225	0
1785161702	XAUUSD	M15	4068.33						4072.97519699	4074.63911962	0
1785162602	XAUUSD	M15	4068.92					4065.48000	4072.57072718	4073.60492340	0
1785163502	XAUUSD	M15	4076.17						4073.13667056	4073.37079698	0
1785164402	XAUUSD	M15	4076.10						4074.42635572	4073.89857635	1
1785165302	XAUUSD	M15	4076.57						4076.27335658	4075.08596647	0
1785166202	XAUUSD	M15	4076.04						4078.39724515	4076.74160581	0
1785167102	XAUUSD	M15	4078.57						4080.46411972	4078.60286276	0
1785168002	XAUUSD	M15	4081.38						4082.05072730	4080.32679503	0
1785168902	XAUUSD	M15	4085.05						4082.78133071	4081.55406287	0
1785169802	XAUUSD	M15	4088.19				4093.80000		4082.43093341	4081.99249814	0
1785170702	XAUUSD	M15	4082.40						4081.00464710	4081.49857262	1
1785171602	XAUUSD	M15	4073.63						4078.97796837	4080.23827049	0
