Non_A_timestamp	Non_A_symbol	Non_A_timeframe	Non_A_close	Non_A_Base_FL	Non_A_UOEDT	Non_A_LOEDT	Non_A_horiz_high_map	Non_A_horiz_low_map	Non_A_ssa	Non_A_ema_ssa	Non_A_crossing
1788435302	XAUUSD	M5	4435.76	4507.81731	4522.32831	4483.27125			4437.37158945	4435.76393120	0
1788435602	XAUUSD	M5	4438.77	4507.59917	4522.11017	4483.05311			4439.17172372	4437.46782746	0
1788435902	XAUUSD	M5	4439.16	4507.38103	4521.89204	4482.83497			4440.70829459	4439.08806102	0
1788436202	XAUUSD	M5	4440.08	4507.16289	4521.67390	4482.61683			4441.86674739	4440.47740421	0
1788436502	XAUUSD	M5	4444.13	4506.94476	4521.45576	4482.39869			4442.65661503	4441.56700962	0
1788436802	XAUUSD	M5	4448.37	4506.72662	4521.23762	4482.18056			4443.15467726	4442.36084344	0
1788437102	XAUUSD	M5	4448.70	4506.50848	4521.01948	4481.96242			4443.61313365	4442.98698855	0
1788437402	XAUUSD	M5	4443.86	4506.29034	4520.80134	4481.74428			4444.50283637	4443.74491246	0
1788437702	XAUUSD	M5	4441.28	4506.07220	4520.58321	4481.52614			4446.43370007	4445.08930626	0
1788438002	XAUUSD	M5	4446.75	4505.85406	4520.36507	4481.30800			4449.84990182	4447.46960404	0
1788438302	XAUUSD	M5	4446.55	4505.63593	4520.14693	4481.08987			4454.77036439	4451.11998422	0
1788438602	XAUUSD	M5	4466.99	4505.41779	4519.92879	4480.87173			4461.08055765	4456.10027093	0
1788438902	XAUUSD	M5	4475.91	4505.19965	4519.71065	4480.65359			4467.91700218	4462.00863656	0
1788439202	XAUUSD	M5	4468.01	4504.98151	4519.49252	4480.43545			4474.61778547	4468.31321101	0
1788439502	XAUUSD	M5	4480.01	4504.76337	4519.27438	4480.21731			4480.90772432	4474.61046767	0
1788439802	XAUUSD	M5	4491.47	4504.54524	4519.05624	4479.99917			4486.04346040	4480.32696403	0
1788440102	XAUUSD	M5	4493.36	4504.32710	4518.83810	4479.78104			4489.42660032	4484.87678218	0
1788440402	XAUUSD	M5	4489.84	4504.10896	4518.61996	4479.56290	4495.87000		4490.85835787	4487.86757003	0
1788440702	XAUUSD	M5	4487.99	4503.89082	4518.40183	4479.34476			4490.49431414	4489.18094208	0
1788441002	XAUUSD	M5	4485.60	4503.67268	4518.18369	4479.12662			4488.60868089	4488.89481148	1
1788441302	XAUUSD	M5	4479.75	4503.45455	4517.96555	4478.90848			4485.58297260	4487.23889204	0
1788441602	XAUUSD	M5	4483.56	4503.23641	4517.74741	4478.69035			4481.93980320	4484.58934762	0
1788441902	XAUUSD	M5	4479.96	4503.01827	4517.52927	4478.47221			4477.93556369	4481.26245565	0
1788442202	XAUUSD	M5	4477.54	4502.80013	4517.31113	4478.25407			4474.00471264	4477.63358415	0
1788442502	XAUUSD	M5	4475.61	4502.58199	4517.09300	4478.03593			4470.53214784	4474.08286599	0
1788442802	XAUUSD	M5	4470.14	4502.36385	4516.87486	4477.81779			4467.81524773	4470.94905686	0
1788443102	XAUUSD	M5	4458.20	4502.14572	4516.65672	4477.59966			4466.15011215	4468.54958451	0
1788443402	XAUUSD	M5	4463.90	4501.92758	4516.43858	4477.38152			4465.84571076	4467.19764763	0
1788443702	XAUUSD	M5	4470.93	4501.70944	4516.22044	4477.16338			4466.58679017	4466.89221890	0
1788444002	XAUUSD	M5	4465.20	4501.49130	4516.00231	4476.94524			4467.86652816	4467.37937353	1
1788444302	XAUUSD	M5	4464.51	4501.27316	4515.78417	4476.72710			4469.45049589	4468.41493471	0
1788444602	XAUUSD	M5	4469.12	4501.05503	4515.56603	4476.50897			4470.98531210	4469.70012340	0
1788444902	XAUUSD	M5	4476.65	4500.83689	4515.34789	4476.29083			4472.08303335	4470.89157838	0
1788445202	XAUUSD	M5	4475.85	4500.61875	4515.12975	4476.07269			4472.46521686	4471.67839762	0
1788445502	XAUUSD	M5	4477.70	4500.40061	4514.91162	4475.85455			4472.31818516	4471.99829139	0
1788445802	XAUUSD	M5	4470.62	4500.18247	4514.69348	4475.63641			4471.99389227	4471.99609183	1
1788446102	XAUUSD	M5	4469.35	4499.96434	4514.47534	4475.41827			4472.21871074	4472.10740129	1
1788446402	XAUUSD	M5	4473.04	4499.74620	4514.25720	4475.20014			4473.58692858	4472.84716493	0
1788446702	XAUUSD	M5	4474.21	4499.52806	4514.03906	4474.98200			4476.41682953	4474.63199723	0
1788447002	XAUUSD	M5	4476.88	4499.30992	4513.82093	4474.76386			4480.81973183	4477.72586453	0
1788447302	XAUUSD	M5	4485.38	4499.09178	4513.60279	4474.54572			4486.51026345	4482.11806399	0
1788447602	XAUUSD	M5	4497.97	4498.87365	4513.38465	4474.32758			4492.76869126	4487.44337763	0
1788447902	XAUUSD	M5	4497.94	4498.65551	4513.16651	4474.10945			4498.56939833	4493.00638798	0
1788448202	XAUUSD	M5	4503.50	4498.43737	4512.94837	4473.89131			4503.22475044	4498.11556921	0
1788448502	XAUUSD	M5	4510.31	4498.21923	4512.73023	4473.67317			4506.10545907	4502.11051414	0
1788448802	XAUUSD	M5	4504.68	4498.00109	4512.51210	4473.45503	4510.78000		4506.79289927	4504.45170670	0
1788449102	XAUUSD	M5	4506.78	4497.78295	4512.29396	4473.23689			4505.52320502	4504.98745586	0
1788449402	XAUUSD	M5	4503.13	4497.56482	4512.07582	4473.01876			4502.67155537	4503.82950561	1
1788449702	XAUUSD	M5	4496.68	4497.34668	4511.85768	4472.80062			4498.97489169	4501.40219865	0
1788450002	XAUUSD	M5	4495.01	4497.12854	4511.63954	4472.58248			4495.30858927	4498.35539396	0
1788450302	XAUUSD	M5	4488.68	4496.91040	4511.42141	4472.36434			4492.32870428	4495.34204912	0
1788450602	XAUUSD	M5	4490.28	4496.69226	4511.20327	4472.14620			4490.56609092	4492.95407002	0
1788450902	XAUUSD	M5	4493.24	4496.47413	4510.98513	4471.92807			4490.04379963	4491.49893483	0
1788451202	XAUUSD	M5	4490.61	4496.25599	4510.76699	4471.70993			4490.48814926	4490.99354204	0
1788451502	XAUUSD	M5	4492.29	4496.03785	4510.54885	4471.49179			4491.56909261	4491.28131733	1
1788451802	XAUUSD	M5	4493.97	4495.81971	4510.33072	4471.27365			4492.76998160	4492.02564947	0
1788452102	XAUUSD	M5	4493.77	4495.60157	4510.11258	4471.05551			4493.63096230	4492.82830588	0
1788452402	XAUUSD	M5	4493.02	4495.38344	4509.89444	4470.83737			4493.88834099	4493.35832343	0
1788452702	XAUUSD	M5	4493.23	4495.16530	4509.67630	4470.61924			4493.43620569	4493.39726456	0
1788453002	XAUUSD	M5	4490.83	4494.94716	4509.45816	4470.40110			4492.31218068	4492.85472262	1
1788453302	XAUUSD	M5	4491.27	4494.72902	4509.24003	4470.18296			4490.78422595	4491.81947429	0
1788453602	XAUUSD	M5	4487.95	4494.51088	4509.02189	4469.96482			4489.11400941	4490.46674185	0
1788453902	XAUUSD	M5	4488.81	4494.29274	4508.80375	4469.74668			4487.65778438	4489.06226312	0
1788454202	XAUUSD	M5	4487.16	4494.07461	4508.58561	4469.52855			4486.59664353	4487.82945332	0
1788454502	XAUUSD	M5	4486.24	4493.85647	4508.36747	4469.31041			4486.10536792	4486.96741062	0
1788454802	XAUUSD	M5	4487.14	4493.63833	4508.14933	4469.09227			4486.22555077	4486.59648069	0
1788455102	XAUUSD	M5	4486.02	4493.42019	4507.93120	4468.87413			4486.88173824	4486.73910946	1
1788455402	XAUUSD	M5	4487.93	4493.20205	4507.71306	4468.65599			4487.96484026	4487.35197486	0
1788455702	XAUUSD	M5	4487.61	4492.98392	4507.49492	4468.43786			4489.23668061	4488.29432774	0
1788456002	XAUUSD	M5	4490.85	4492.76578	4507.27678	4468.21972			4490.51590387	4489.40511580	0
1788456302	XAUUSD	M5	4492.91	4492.54764	4507.05864	4468.00158			4491.55901505	4490.48206543	0
1788456602	XAUUSD	M5	4491.82	4492.32950	4506.84051	4467.78344			4492.19256016	4491.33731279	0
1788456902	XAUUSD	M5	4493.00	4492.11136	4506.62237	4467.56530			4492.37011151	4491.85371215	0
1788457202	XAUUSD	M5	4491.91	4491.89323	4506.40423	4467.34716			4492.06319233	4491.95845224	0
1788457502	XAUUSD	M5	4491.40	4491.67509	4506.18609	4467.12903			4491.34700040	4491.65272632	1
1788457802	XAUUSD	M5	4490.08	4491.45695	4505.96795	4466.91089			4490.31043628	4490.98158130	0
1788458102	XAUUSD	M5	4486.61	4491.23881	4505.74982	4466.69275			4489.09511265	4490.03834698	0
1788458402	XAUUSD	M5	4489.31	4491.02067	4505.53168	4466.47461			4487.86717721	4488.95276209	0
1788458702	XAUUSD	M5	4488.31	4490.80254	4505.31354	4466.25647			4486.61673432	4487.78474821	0
1788459002	XAUUSD	M5	4483.95	4490.58440	4505.09540	4466.03834			4485.40375649	4486.59425235	0
1788459302	XAUUSD	M5	4486.34	4490.36626	4504.87726	4465.82020			4484.32879662	4485.46152448	0
1788459602	XAUUSD	M5	4483.65	4490.14812	4504.65912	4465.60206			4483.30099183	4484.38125816	0
1788459902	XAUUSD	M5	4479.87	4489.92998	4504.44099	4465.38392			4482.32181161	4483.35153488	0
1788460202	XAUUSD	M5	4479.33	4489.71184	4504.22285	4465.16578			4481.40817123	4482.37985306	0
1788460502	XAUUSD	M5	4482.51	4489.49371	4504.00471	4464.94765			4480.49722793	4481.43854049	0
1788460802	XAUUSD	M5	4481.49	4489.27557	4503.78657	4464.72951			4479.45219795	4480.44536922	0
1788461102	XAUUSD	M5	4478.70	4489.05743	4503.56843	4464.51137			4478.27965612	4479.36251267	0
1788461402	XAUUSD	M5	4475.42	4488.83929	4503.35030	4464.29323			4477.09527054	4478.22889161	0
1788461702	XAUUSD	M5	4475.21	4488.62115	4503.13216	4464.07509			4476.06127643	4477.14508402	0
1788462002	XAUUSD	M5	4474.57	4488.40302	4502.91402	4463.85696			4475.26022202	4476.20265302	0
1788462302	XAUUSD	M5	4476.18	4488.18488	4502.69588	4463.63882			4474.76956676	4475.48610989	0
1788462602	XAUUSD	M5	4474.42	4487.96674	4502.47774	4463.42068			4474.57221481	4475.02916235	0
1788462902	XAUUSD	M5	4476.22	4487.74860	4502.25961	4463.20254			4474.69873089	4474.86394662	0
1788463202	XAUUSD	M5	4474.19	4487.53046	4502.04147	4462.98440			4475.04164956	4474.95279809	1
1788463502	XAUUSD	M5	4475.85	4487.31233	4501.82333	4462.76626			4475.56007603	4475.25643706	0
1788463802	XAUUSD	M5	4474.20	4487.09419	4501.60519	4462.54813			4476.09582172	4475.67612939	0
1788464102	XAUUSD	M5	4475.23	4486.87605	4501.38705	4462.32999			4476.55699791	4476.11656365	0
1788464402	XAUUSD	M5	4477.53	4486.65791	4501.16892	4462.11185			4476.80287896	4476.45972131	0
1788464702	XAUUSD	M5	4479.37	4486.43977	4500.95078	4461.89371			4476.68913911	4476.57443021	0
1788465002	XAUUSD	M5	4477.75	4486.22164	4500.73264	4461.67557			4476.14424112	4476.35933567	1
1788465302	XAUUSD	M5	4474.49	4486.00350	4500.51450	4461.45744			4475.24515962	4475.80224764	0
1788465602	XAUUSD	M5	4471.87	4485.78536	4500.29636	4461.23930			4474.16052368	4474.98138566	0
1788465902	XAUUSD	M5	4473.04	4485.56722	4500.07822	4461.02116			4473.07549415	4474.02843991	0
1788466202	XAUUSD	M5	4471.85	4485.34908	4499.86009	4460.80302			4472.07407932	4473.05125962	0
1788466502	XAUUSD	M5	4470.96	4485.13094	4499.64195	4460.58488		4470.42000	4471.29730063	4472.17428012	0
1788466802	XAUUSD	M5	4470.82	4484.91281	4499.42381	4460.36675			4470.85327667	4471.51377840	0
