timestamp	symbol	timeframe	close	ssa	ema_ssa	ssa_high	ssa_low	SSA Crossing
1775822403	XAUUSD	H3	4774.77	4747.13037	4752.29853	4767.27262	4729.16079	0
1775833203	XAUUSD	H3	4760.32	4741.11669	4746.70761	4762.29722	4718.87550	0
1775844003	XAUUSD	H3	4749.39	4734.60676	4740.65719	4756.52989	4709.02194	0
1776027603	XAUUSD	H3	4671.61	4728.09860	4734.37789	4750.29048	4700.77243	0
1776038403	XAUUSD	H3	4720.63	4723.53800	4728.95794	4744.91939	4696.81576	0
1776049203	XAUUSD	H3	4729.45	4720.29594	4724.62694	4740.80271	4696.69449	0
1776060003	XAUUSD	H3	4723.50	4718.69733	4721.66214	4738.38909	4699.11437	0
1776070803	XAUUSD	H3	4706.83	4719.42644	4720.54429	4737.99579	4703.33396	0
1776081603	XAUUSD	H3	4719.08	4723.04711	4721.79570	4740.09083	4709.10745	1
1776092403	XAUUSD	H3	4729.96	4729.32316	4725.55943	4744.44172	4716.00800	0
1776103203	XAUUSD	H3	4740.28	4737.65526	4731.60734	4750.70210	4723.83786	0
1776114003	XAUUSD	H3	4757.64	4747.63276	4739.62005	4758.79999	4732.07141	0
1776124803	XAUUSD	H3	4775.32	4758.85173	4749.23589	4768.60839	4740.50701	0
1776135603	XAUUSD	H3	4760.11	4771.04652	4760.14120	4780.09450	4749.64947	0
1776146403	XAUUSD	H3	4786.45	4784.44980	4772.29550	4793.41309	4760.10708	0
1776157203	XAUUSD	H3	4774.87	4797.97489	4785.13519	4807.66449	4771.96171	0
1776168003	XAUUSD	H3	4803.70	4810.94748	4798.04134	4822.07084	4784.77566	0
1776178803	XAUUSD	H3	4835.11	4821.67053	4809.85593	4834.68442	4797.36182	0
1776189603	XAUUSD	H3	4841.72	4828.42556	4819.14075	4843.61956	4807.74630	0
1776200403	XAUUSD	H3	4837.22	4830.53238	4824.83657	4847.68825	4813.90110	0
1776211203	XAUUSD	H3	4823.98	4828.37468	4826.60562	4846.64093	4815.29138	0
1776222003	XAUUSD	H3	4819.80	4823.28105	4824.94334	4840.93041	4812.66881	1
1776232803	XAUUSD	H3	4818.56	4816.96725	4820.95529	4833.10355	4807.53158	0
1776243603	XAUUSD	H3	4812.76	4811.30657	4816.13093	4825.53690	4801.90765	0
1776254403	XAUUSD	H3	4815.39	4807.85936	4811.99515	4820.39807	4797.86188	0
1776265203	XAUUSD	H3	4792.52	4807.26907	4809.63211	4818.73747	4795.99927	0
1776276003	XAUUSD	H3	4790.77	4809.54431	4809.58821	4820.83436	4796.78783	0
1776286803	XAUUSD	H3	4823.50	4813.46379	4811.52600	4825.62859	4799.48816	1
1776297603	XAUUSD	H3	4819.78	4816.45441	4813.99020	4830.56477	4802.50949	0
1776308403	XAUUSD	H3	4821.38	4816.86498	4815.42759	4833.16154	4803.85819	0
1776319203	XAUUSD	H3	4813.77	4813.62929	4814.52844	4831.70345	4802.16295	1
1776330003	XAUUSD	H3	4822.24	4807.09684	4810.81264	4825.88914	4797.42756	0
