timestamp	symbol	timeframe	close	ssa	ema_ssa	ssa_high	ssa_low	SSA Crossing
1777652102	XAUUSD	M15	4637.96	4639.35547	4640.14495	4643.90361	4636.31741	0
1777653002	XAUUSD	M15	4638.86	4637.98814	4639.06655	4642.90322	4635.71878	0
1777653902	XAUUSD	M15	4638.72	4636.42075	4637.74365	4641.75603	4634.58247	0
1777654802	XAUUSD	M15	4639.73	4634.62763	4636.18564	4640.32311	4632.78695	0
1777655702	XAUUSD	M15	4631.67	4632.53853	4634.36208	4638.51442	4630.34388	0
1777656602	XAUUSD	M15	4628.00	4630.35345	4632.35777	4636.32777	4627.55474	0
1777657502	XAUUSD	M15	4629.43	4628.16777	4630.26277	4633.96326	4624.70818	0
1777658402	XAUUSD	M15	4615.72	4625.96908	4628.11593	4631.39026	4621.97654	0
1777659302	XAUUSD	M15	4623.48	4624.16830	4626.14211	4628.82879	4619.78993	0
1777660202	XAUUSD	M15	4622.32	4622.51999	4624.33105	4626.57183	4618.20687	0
1777661102	XAUUSD	M15	4624.35	4620.97486	4622.65296	4624.63689	4617.03674	0
1777662002	XAUUSD	M15	4626.30	4619.37915	4621.01605	4622.93617	4615.97560	0
1777662902	XAUUSD	M15	4624.40	4617.64356	4619.32980	4621.38621	4614.83349	0
1777663802	XAUUSD	M15	4611.78	4615.87995	4617.60488	4619.92270	4613.45482	0
1777664702	XAUUSD	M15	4610.06	4614.60490	4616.10489	4618.68522	4612.25191	0
1777665602	XAUUSD	M15	4611.41	4614.03502	4615.06995	4618.06670	4611.43822	0
1777666502	XAUUSD	M15	4613.30	4614.25205	4614.66100	4618.27702	4611.21530	0
1777667402	XAUUSD	M15	4613.77	4615.20439	4614.93269	4619.26350	4611.59235	1
1777668302	XAUUSD	M15	4613.98	4616.73243	4615.83256	4620.93113	4612.52489	0
1777845602	XAUUSD	M15	4623.11	4618.54342	4617.18799	4622.92609	4613.78142	0
1777846502	XAUUSD	M15	4620.91	4619.98901	4618.58850	4624.43357	4614.96692	0
1777847402	XAUUSD	M15	4628.20	4620.78527	4619.68688	4625.32318	4615.89478	0
1777848302	XAUUSD	M15	4618.95	4620.51350	4620.10019	4625.17480	4616.11909	0
1777849202	XAUUSD	M15	4615.08	4619.43312	4619.76666	4623.96804	4615.52622	1
1777850102	XAUUSD	M15	4617.09	4617.76790	4618.76728	4622.09218	4614.26464	0
1777851002	XAUUSD	M15	4613.63	4615.60744	4617.18736	4619.88012	4612.36095	0
1777851902	XAUUSD	M15	4613.86	4613.20643	4615.19690	4617.54574	4609.96409	0
1777852802	XAUUSD	M15	4612.30	4610.72442	4612.96066	4615.31658	4607.28591	0
1777853702	XAUUSD	M15	4606.13	4608.34304	4610.65185	4613.34541	4604.68517	0
1777854602	XAUUSD	M15	4605.86	4606.35325	4608.50255	4611.74423	4602.35878	0
1777855502	XAUUSD	M15	4613.01	4604.80567	4606.65411	4610.65126	4600.28472	0
1777856402	XAUUSD	M15	4600.58	4603.49070	4605.07241	4609.89723	4598.49147	0
1777857302	XAUUSD	M15	4594.65	4602.72737	4603.89989	4609.37139	4597.19995	0
1777858202	XAUUSD	M15	4601.59	4602.62203	4603.26096	4609.23465	4596.43501	0
1777859102	XAUUSD	M15	4613.14	4602.87278	4603.06687	4609.44516	4596.21121	0
1777860002	XAUUSD	M15	4608.34	4603.10232	4603.08460	4609.57899	4596.31391	1
1777860902	XAUUSD	M15	4593.09	4603.48749	4603.28604	4609.51880	4596.71422	0
1777861802	XAUUSD	M15	4603.32	4604.53714	4603.91159	4609.66585	4597.77399	0
1777862702	XAUUSD	M15	4605.77	4605.98946	4604.95053	4610.26751	4599.49596	0
1777863602	XAUUSD	M15	4610.07	4607.62574	4606.28814	4611.15223	4601.49871	0
1777864502	XAUUSD	M15	4610.27	4609.07937	4607.68375	4612.19201	4603.48768	0
1777865402	XAUUSD	M15	4605.07	4610.08928	4608.88651	4613.21807	4605.11083	0
1777866302	XAUUSD	M15	4615.09	4610.60008	4609.74329	4613.98822	4606.37499	0
1777867202	XAUUSD	M15	4611.19	4610.23996	4609.99163	4614.13546	4606.92413	0
1777868102	XAUUSD	M15	4608.12	4609.17661	4609.58412	4613.61751	4606.58640	1
1777869002	XAUUSD	M15	4609.32	4607.62196	4608.60304	4612.51477	4605.38799	0
1777869902	XAUUSD	M15	4606.00	4605.68592	4607.14448	4610.92304	4603.43474	0
1777870802	XAUUSD	M15	4603.74	4603.57652	4605.36050	4608.99584	4600.94165	0
1777871702	XAUUSD	M15	4596.32	4601.41555	4603.38802	4606.92391	4598.16674	0
1777872602	XAUUSD	M15	4598.85	4599.39089	4601.38946	4604.57836	4595.39454	0
1777873502	XAUUSD	M15	4599.12	4597.34381	4599.36663	4602.35162	4592.76083	0
1777874402	XAUUSD	M15	4597.44	4595.19018	4597.27841	4600.15176	4590.19782	0
1777875302	XAUUSD	M15	4594.08	4592.93188	4595.10514	4597.95485	4587.84446	0
1777876202	XAUUSD	M15	4585.46	4590.68296	4592.89405	4595.80120	4585.64321	0
1777877102	XAUUSD	M15	4588.54	4588.70934	4590.80170	4593.72058	4583.71289	0
1777878002	XAUUSD	M15	4592.16	4586.90599	4588.85384	4591.75416	4582.08635	0
1777878902	XAUUSD	M15	4585.82	4585.17142	4587.01263	4589.85918	4580.74931	0
