TimeStamp	symbol	timeframe	close	Type	CurrentPoint	CurrentPrChg	Current%Chg	Current%ChgClass	CurrentBars	CurrentBarsClass	CurrentPrPerBar	CurrentPrPerBarClass	CurrentSlope	CurrentCategory
1775109606	XAUUSD	M15	4581.00000	Bottom	4553.95000	-246.50000	-5.13	3	26	3	-9.48077	3	-83.9789	LL
1775140206	XAUUSD	M15	4693.91000	Peak	4699.15000	145.20000	3.19	0	34	0	4.27059	0	76.8211	LH
1775434506	XAUUSD	M15	4603.52000	Bottom	4601.05000	-98.10000	-2.09	3	35	3	-2.80286	3	-70.3647	HL
1775467806	XAUUSD	M15	4703.45000	Peak	4706.47000	105.42000	2.29	0	37	0	2.84919	0	70.6601	HH
1775477706	XAUUSD	M15	4666.07000	Bottom	4659.58000	-46.89000	-1.00	3	11	3	-4.26273	3	-76.7976	HL
1775485806	XAUUSD	M15	4684.65000	Peak	4697.83000	38.25000	0.82	0	9	0	4.25000	0	76.7595	LH
1775502906	XAUUSD	M15	4650.38000	Bottom	4645.75000	-52.08000	-1.11	3	19	3	-2.74105	3	-69.9568	LL
1775512806	XAUUSD	M15	4663.66000	Peak	4667.87000	22.12000	0.48	0	7	0	3.16000	0	72.4397	LH
1775526306	XAUUSD	M15	4627.14000	Bottom	4616.50000	-51.37000	-1.10	3	15	3	-3.42467	3	-73.7222	LL
1775536206	XAUUSD	M15	4661.81000	Peak	4663.28000	46.78000	1.01	0	11	0	4.25273	0	76.7677	LH
1775539806	XAUUSD	M15	4631.75000	Bottom	4623.48000	-39.80000	-0.85	3	4	3	-9.95000	3	-84.2609	HL
1775553306	XAUUSD	M15	4686.92000	Peak	4694.31000	70.83000	1.53	0	15	0	4.72200	0	78.0429	HH
1775570406	XAUUSD	M15	4622.28000	Bottom	4607.91000	-86.40000	-1.84	3	19	3	-4.54737	3	-77.5976	LL
1775606406	XAUUSD	M15	4834.27000	Peak	4857.37000	249.46000	5.41	2	36	0	6.92944	0	81.7882	HH
1775643306	XAUUSD	M15	4782.61000	Bottom	4771.22000	-86.15000	-1.77	3	41	4	-2.10122	3	-64.5496	HL
1775649606	XAUUSD	M15	4805.31000	Peak	4807.34000	36.12000	0.76	0	7	0	5.16000	0	79.0321	LH
1775692806	XAUUSD	M15	4702.29000	Bottom	4698.51000	-108.83000	-2.26	3	44	4	-2.47341	3	-67.9865	LL
1775702706	XAUUSD	M15	4719.30000	Peak	4733.02000	34.51000	0.73	0	11	0	3.13727	0	72.3204	LH
1775717106	XAUUSD	M15	4712.50000	Bottom	4703.46000	-29.56000	-0.62	3	16	3	-1.84750	3	-61.5746	HL
1775755806	XAUUSD	M15	4795.37000	Peak	4800.93000	97.47000	2.07	0	43	1	2.26674	0	66.1948	HH
1775779206	XAUUSD	M15	4754.03000	Bottom	4750.74000	-50.19000	-1.05	3	22	3	-2.28136	3	-66.3305	HL
1775784606	XAUUSD	M15	4771.97000	Peak	4777.31000	26.57000	0.56	0	6	0	4.42833	0	77.2750	LH
1775810706	XAUUSD	M15	4741.04000	Bottom	4730.81000	-46.50000	-0.97	3	29	3	-1.60345	3	-58.0500	LL
1775831406	XAUUSD	M15	4780.79000	Peak	4794.96000	64.15000	1.36	0	23	0	2.78913	0	70.2755	HH
1775836806	XAUUSD	M15	4763.36000	Bottom	4747.50000	-47.46000	-0.99	3	6	3	-7.91000	3	-82.7948	HL
1775845806	XAUUSD	M15	4768.22000	Peak	4773.08000	25.58000	0.54	0	10	0	2.55800	0	68.6480	LH
1776031206	XAUUSD	M15	4676.52000	Bottom	4638.70000	-134.38000	-2.82	3	10	3	-13.43800	3	-85.7441	LL
